"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","M_MORTDUE","M_VALUE","M_YOJ","M_DEROG","M_DELINQ","M_CLAGE","M_NINQ","M_CLNO","M_DEBTINC"
1,13000,94941,120000,"DebtCon","ProfExe",0.1,0,0,132.866666666667,0,21,39.633190087631,0,0,0,0,0,0,0,0,1
0,11000,46093,60563,"DebtCon","Mgr",4,0,0,190.482164283731,1,21,29.5781481332882,0,0,0,0,0,0,0,0,0
0,25100,147622,187441,"HomeImp","Self",3,0,0,170.480720821589,0,16,41.5214316097235,0,0,0,0,0,0,0,0,0
0,7500,45864,57799,"DebtCon","NotProvided",7,0,0,65.5711978601216,0,16,33.8657453472846,0,0,0,1,0,0,1,0,0
0,15000,89165,106392,"DebtCon","Sales",12,1,2,166.085017986236,0,17,35.0331025035508,0,0,0,1,0,0,0,0,0
0,7000,129959,161301,"HomeImp","ProfExe",11,0,0,209.986299534674,0,18,21.917952264118,0,0,0,0,0,0,0,0,0
0,6600,95450,112630,"HomeImp","Office",23,0,0,122.815584075632,0,12,36.7734587221469,0,0,0,0,0,0,0,0,0
0,15100,44959,68483,"DebtCon","Mgr",27,1,0,279.947988590477,1,17,37.1809478535973,0,0,0,0,0,0,0,0,0
0,12500,56791,72974,"HomeImp","Other",29,0,3,182.066405203478,0,24,35.6916228152633,0,0,0,0,0,0,0,0,0
0,9400,86539,95010,"DebtCon","Other",0,4,0,235.366666666667,0,3,29.8153235881009,0,0,0,0,0,1,0,0,0
0,13900,95351,117381,"DebtCon","Office",12,0,0,210.202129539424,0,11,41.011001372254,0,0,0,0,0,0,0,0,0
1,25900,58000,95000,"NotProvided","Self",3,0,1,34.6666666666667,6,28,29.5823009217821,0,0,0,0,0,0,0,0,1
1,7000,66000,86300,"DebtCon","Other",3,1,1,242.433333333333,0,8,39.1467557660987,0,0,0,0,0,0,0,0,1
0,31700,55247,103246,"DebtCon","Office",3,0,0,177.276927910264,1,25,35.3027741080163,0,0,0,0,0,0,0,0,0
0,19900,45748,82516,"NotProvided","NotProvided",6,0,0,113.798906849953,1,13,39.3138780148811,0,0,1,1,1,1,1,1,0
0,12400,26768,52411,"HomeImp","Other",0,0,0,253.318043343186,0,11,38.8210213230043,0,0,0,0,0,0,0,0,0
0,15200,41049,50892,"DebtCon","ProfExe",1,0,0,276.167357759033,1,34,38.3798337163123,0,0,0,0,0,0,0,0,0
1,20000,77900,105400,"DebtCon","Mgr",4,0,0,110.6,0,17,37.952179906169,0,0,0,0,0,0,0,0,1
1,10000,48300,74600,"NotProvided","Other",14,0,1,179.1,2,31,29.8747314943954,0,0,0,0,0,0,0,0,1
0,16700,35240,56374,"DebtCon","Office",1,0,0,73.4289423970166,1,9,40.8291287275213,1,0,0,0,0,0,0,0,0
0,50800,48667,63130,"DebtCon","Office",12,0,1,97.9721832242094,1,26,40.0259204099122,0,0,0,0,0,0,0,0,0
0,19400,71515,100771,"DebtCon","Other",1,1,1,223.171084369206,2,13,40.7050437047449,0,0,1,0,0,0,0,0,0
0,32200,188427,293790,"DebtCon","Other",27,0,0,157.726290760674,0,23,37.065758883993,0,0,0,0,0,0,0,0,0
0,4500,66127,79087,"HomeImp","Other",4,1,0,81.3490650979605,0,15,40.7053087596899,0,0,0,0,0,0,0,0,0
0,17800,107736,113100,"DebtCon","Other",1,0,0,135.123224886745,2,20,38.9371122380379,0,0,0,0,0,0,0,0,0
0,15200,49428,62696,"DebtCon","Mgr",27,0,0,265.395312836918,1,16,38.5007964531243,0,0,0,0,0,0,0,0,0
1,18400,43188,68876,"DebtCon","Other",5,0,0,199.000576020536,6,25,41.0061032866715,0,0,1,0,0,0,0,0,0
0,13900,127259,194233,"HomeImp","Office",1,0,1,341.643501740335,0,16,40.1076590882324,0,0,0,0,0,0,0,0,0
0,6000,79046,103048,"HomeImp","Other",0,0,0,181.696538015268,0,32,37.2899899236346,0,0,0,0,0,0,0,0,0
0,23500,146371,179434,"DebtCon","ProfExe",6,0,0,195.178144640814,4,43,39.9450544697536,0,0,0,1,1,0,0,0,0
0,8600,26284,51703,"NotProvided","NotProvided",9,1,1,79.1666666666667,1,0,12.1051438601479,1,0,1,1,1,1,1,1,0
0,14000,62000,88500,"HomeImp","Office",9,0,1,107.366666666667,0,11,40.4757933544953,0,0,0,1,1,0,0,0,1
0,14000,63451,105702,"HomeImp","ProfExe",8,0,0,257.226325045992,1,12,33.9030638184413,0,0,0,0,0,0,0,0,0
0,21500,35300,78810,"HomeImp","Other",25,0,0,261.866666666667,1,7,37.5708196291704,0,0,0,0,0,0,0,0,1
0,14300,81000,1e+05,"DebtCon","Office",30,0,1,333.833333333333,2,50,26.8294901911586,0,0,0,1,0,0,0,0,1
1,15000,79000,108000,"HomeImp","Other",0.4,0,0,385.5,3,31,41.8636310541507,0,0,0,0,0,0,0,0,1
0,19200,57728,96552,"DebtCon","Office",0,0,0,80.6023631081692,0,23,37.5081031368291,0,0,0,0,0,0,0,0,0
0,12300,50441,56656,"DebtCon","Office",1,0,0,186.451016653267,0,21,35.4526074209961,0,0,0,0,0,0,0,0,0
0,6300,49498,64296,"DebtCon","Mgr",6,1,4,111.206513236491,1,10,38.5771319366187,0,0,0,1,0,0,0,0,0
0,23500,90246,119320,"DebtCon","Other",22,0,0,239.25964488572,1,26,41.3366964820943,0,0,0,0,0,0,0,0,0
0,13600,89937,110986,"DebtCon","Sales",14,1,2,146.718742448452,1,17,33.7471158335903,0,0,0,1,0,0,0,0,0
0,14500,59465,78444,"DebtCon","NotProvided",7,0,1,53.6666666666667,1,7,24.5399458058132,0,0,0,1,1,1,1,1,0
0,9000,55367,79819,"DebtCon","Office",5,0,0,101.281184965988,1,15,27.189212900912,0,0,0,0,0,0,0,0,0
0,10000,22068,49600,"HomeImp","Other",0.9,0,0,247.566666666667,0,11,20.6837403816235,0,0,0,0,0,0,0,0,1
0,13900,62103,80000,"DebtCon","Office",5.5,0,0,120.7,1,20,34.5971919029798,0,0,0,0,0,0,0,0,1
1,7200,53277,76723,"HomeImp","Other",10,0,0,70.1938901882609,0,11,41.2507062582395,1,0,0,0,0,0,0,0,0
0,20000,69742.61,180000,"NotProvided","Other",11,0,0,366.3,1,17,31.6056654552862,0,0,0,0,0,0,0,0,1
0,5500,78059,78179,"DebtCon","NotProvided",5,0,0,194.005486649548,4,11,20.6793135817858,0,0,0,1,1,1,1,1,0
0,12200,136866,162906,"HomeImp","ProfExe",4,0,0,427.923591488441,0,43,30.182122904324,0,0,0,0,0,0,0,0,0
1,15200,58000,77000,"DebtCon","Other",0.9,1,0,127.866666666667,3,26,40.7720584905902,0,0,0,0,0,0,0,0,1
0,15900,42623,66458,"DebtCon","ProfExe",4,0,0,146.827892447444,1,12,30.289129834943,0,0,0,0,0,0,0,0,0
0,17500,101354,117209,"DebtCon","ProfExe",1,0,0,136.158222528709,0,30,36.8517233016164,0,0,0,0,0,0,0,0,0
0,20600,138918,175989,"DebtCon","ProfExe",5,0,0,189.955919466385,4,42,40.8626783663326,0,0,0,1,1,0,0,0,0
0,12300,26900,50530,"HomeImp","Mgr",5,0,0,163.540959959896,0,9,20.0262844095921,1,0,0,1,1,0,1,0,0
0,11000,116361,143318,"DebtCon","ProfExe",15,0,1,181.070793246515,1,32,30.032845485249,0,0,0,1,0,0,0,0,0
0,7400,42006,44651,"HomeImp","Other",2,0,0,271.9181690517,0,25,42.9300430965424,1,0,0,0,0,0,0,0,0
0,21900,53024,57036,"DebtCon","Other",3,0,0,308.603444791903,0,18,39.2346080995978,1,0,1,0,0,0,0,0,0
0,9300,46466,57182,"DebtCon","Other",2,0,0,100.051866212015,0,20,38.4443179852582,0,0,0,0,0,0,0,0,0
1,7000,25000,49840,"DebtCon","Office",0.6,0,0,139,0,13,41.0279667473668,0,0,0,0,0,0,0,0,1
1,10000,57238,101500,"DebtCon","ProfExe",10,0,0,106.833333333333,0,36,40.9570903166137,0,0,0,0,0,0,0,0,1
0,65200,71061,141666,"HomeImp","Office",10,0,1,134.680906720308,0,11,43.568863830063,0,0,0,0,0,0,0,0,0
0,14500,67631,89458,"DebtCon","Other",4,0,0,24.9555296067829,1,4,39.1037251669465,0,0,0,0,0,0,0,0,0
0,27000,54515,82539,"DebtCon","Other",20,0,0,203.861398901214,0,26,37.112352280385,0,0,0,0,0,0,0,0,0
0,18900,64290,87837,"DebtCon","Other",2,0,0,309.005457986148,3,15,42.1683584834302,0,0,0,0,0,0,0,0,0
0,8400,60995,78444,"HomeImp","Mgr",4,0,1,123.738516603578,0,23,26.9327076009487,0,0,0,0,0,0,0,0,0
0,14200,83231,99400,"HomeImp","ProfExe",6,0,0,130.167514777995,1,26,27.1729647059659,0,0,0,0,0,0,0,0,0
0,69700,191972,294367,"DebtCon","Self",10,0,0,230.705613376553,2,25,28.2018705114545,0,0,0,0,0,0,0,0,0
0,8600,14762,66271,"HomeImp","Office",25,0,0,318.149277551241,1,13,42.2766342050241,0,0,0,0,0,0,0,0,0
0,14300,24622,41870,"HomeImp","Other",0,0,0,314.468343496818,0,8,27.6089189222543,1,0,0,0,0,0,0,0,0
0,3800,47130,73189,"NotProvided","NotProvided",11,0,0,84.6321106600501,0,0,22.2539491564939,1,0,1,1,1,1,1,1,0
1,16300,25004,65000,"DebtCon","Other",2,0,0,199.833333333333,0,7,36.9469974926845,0,0,0,0,0,0,0,0,1
0,29800,134560,187551,"DebtCon","ProfExe",1,0,0,225.092298666644,1,19,39.211937494372,0,0,0,0,0,0,0,0,0
0,15400,32131,47338,"HomeImp","Other",9,0,0,93.3731421959804,1,11,31.4091863558158,0,0,0,0,0,0,0,0,0
0,12900,34655,57787,"NotProvided","Other",31,0,0,244.995384577358,0,18,21.4155042968018,0,0,0,0,0,0,0,0,0
0,42200,21393,68111,"DebtCon","Other",19,0,0,208.522924442935,0,30,39.7517165600842,0,0,0,0,0,0,0,0,0
0,11300,40752,53683,"HomeImp","Other",22,0,1,129.758062083481,0,23,38.425881111457,0,0,0,0,0,0,0,0,0
1,18000,62000,160800,"HomeImp","ProfExe",15,0,0,129.833333333333,1,11,29.8196343890762,0,0,0,0,0,0,0,0,1
0,16600,69644,100411,"DebtCon","Office",0,0,0,149.09522704247,4,19,29.725746822155,0,0,0,0,0,0,0,0,0
0,12800,56516,78392,"HomeImp","Other",0,0,1,195.723321910395,0,13,27.3374413849495,0,0,0,0,0,0,0,0,0
0,32300,194350,299720,"DebtCon","Other",28,0,0,170.196867362851,0,23,40.2515100274568,0,0,0,0,0,0,0,0,0
0,17000,125257,161009,"DebtCon","Office",3,0,0,129.75779959246,1,21,27.63720659959,0,0,0,0,0,0,0,0,0
0,25100,58042,98964,"DebtCon","Other",16,0,1,125.795863913264,0,29,38.3722235008014,0,0,0,0,0,0,0,0,0
0,20400,86559,123114,"DebtCon","Other",9,0,0,280.79322574114,2,16,34.4391711074762,0,0,0,0,0,0,0,0,0
0,4000,66000,79050,"HomeImp","Other",1.8,2,0,279,1,6,41.0775906567311,0,0,0,0,0,0,0,0,1
1,10800,64305,107374,"DebtCon","ProfExe",9,0,0,97.8613257619211,0,36,36.9963856593037,0,0,0,0,0,0,0,0,0
0,14600,51613,77912,"DebtCon","Office",0,0,0,182.88257535857,0,25,32.2244524063703,0,0,0,0,0,0,0,0,0
0,32900,49709,101222,"DebtCon","Office",2,0,0,181.909824541909,2,24,35.0455962558024,0,0,0,0,0,0,0,0,0
0,13800,21711,32357,"DebtCon","Office",7,0,0,105.666234207532,0,17,20.3331555948701,0,0,0,0,0,0,0,0,0
0,15200,8723,66817,"DebtCon","Sales",0,0,0,309.502633522239,0,5,37.763835899678,0,0,0,0,0,0,0,0,0
0,24200,68477,91598,"DebtCon","Other",16,0,0,88.6652012623962,0,17,32.523092222923,0,0,0,0,0,0,0,0,0
0,10200,46140,56206,"DebtCon","NotProvided",8,1,0,115.780628171199,1,25,22.3137051465845,0,0,0,0,0,0,0,0,0
0,4200,56544,59218,"HomeImp","Office",19,0,0,211.002599120024,1,20,19.0277044247499,0,0,0,0,0,0,0,0,0
0,12000,35721,52938,"HomeImp","Other",23,0,1,125.928071002577,0,22,38.6270249928567,0,0,0,0,0,0,0,0,0
0,10200,77571,102732,"HomeImp","ProfExe",6,0,0,100.629663460088,0,34,37.361513569393,0,0,0,0,0,0,0,0,0
0,41100,129281,194500,"DebtCon","Mgr",3,1,0,197.432069053526,0,25,32.5147687143342,0,0,1,0,0,0,0,0,0
0,12900,69770,87000,"DebtCon","Other",6,0,0,201.933333333333,3,19,41.7535249901812,0,0,0,0,0,0,0,0,1
0,33500,49292,104421,"DebtCon","Office",1,0,0,161.833235554349,1,25,36.8960994554665,0,0,0,0,0,0,0,0,0
0,23100,95352,115077,"DebtCon","Other",24,0,0,253.329371334356,0,26,39.8168005645819,0,0,0,0,0,0,0,0,0
0,17300,90768,116052,"DebtCon","Other",13,0,0,120.241426224329,2,9,35.8108779495167,0,0,0,0,0,0,0,0,0
0,18100,46145,72200,"DebtCon","ProfExe",11,0,0,178.19207765629,0,42,40.5740224821139,0,0,0,0,0,0,0,0,0
0,6500,75113,115900,"HomeImp","Office",29,0,0,332.733333333333,2,38,35.0331025035508,0,0,0,0,0,0,0,0,1
0,8300,57503,72704,"DebtCon","NotProvided",18,0,0,156.593707545904,0,11,33.3371187559176,0,0,0,0,0,0,0,0,0
1,15000,18900,80400,"DebtCon","ProfExe",7,0,1,142,0,12,20.3535820849955,0,0,0,0,0,0,0,0,1
0,21400,7259,24770,"DebtCon","Other",23,0,0,62.2635658704608,2,18,41.5767005175523,0,0,1,0,0,0,0,0,0
0,21700,47024,71628,"DebtCon","ProfExe",10,0,0,177.602065637363,1,41,37.1253617454671,0,0,0,0,0,0,0,0,0
0,18000,34542,53365,"DebtCon","Other",27,0,0,340.460801015037,0,17,30.5756500289196,1,0,1,1,1,0,1,0,0
0,17000,134689,158661,"DebtCon","Mgr",8.5,0,0,227.395464650081,0,19,36.4255717555459,0,0,1,0,0,0,0,0,0
1,2800,50795,63100,"HomeImp","Self",26,2,15,145.633333333333,3,45,42.1381064340184,0,0,0,0,0,0,0,0,1
0,26900,69446,104590,"DebtCon","ProfExe",11,0,0,287.275992432001,1,32,41.499060426666,0,0,0,0,0,0,0,0,0
0,9200,92395,114494,"HomeImp","Office",24,0,0,130.376788201093,1,11,39.1121503582933,0,0,0,0,0,0,0,0,0
0,41700,59889,109250,"DebtCon","Mgr",16,0,0,187.132810757203,0,22,36.9688144426927,0,0,0,0,0,0,0,0,0
0,17500,23288,94904,"DebtCon","ProfExe",8,0,0,145.120736767167,0,20,29.6753822171061,0,0,0,0,0,0,0,0,0
0,5000,44944,65400,"HomeImp","Office",1.5,0,0,51.7666666666667,0,4,31.5155934065094,1,0,0,0,0,0,0,0,1
0,10500,57372,67960,"DebtCon","ProfExe",1.5,0,0,158.266666666667,2,35,29.8187435390189,0,0,0,0,0,0,0,0,1
0,18900,123206,205608,"DebtCon","Other",4,0,0,201.302371756703,0,17,27.5275020211411,0,0,0,0,0,0,0,0,0
0,25100,44639,75412,"DebtCon","Other",22,0,1,284.913670427185,0,29,39.5180170846721,0,0,0,1,0,0,0,0,0
0,40700,150283,208676,"HomeImp","ProfExe",5,0,0,152.102271473876,0,31,36.9099941496318,0,0,0,0,0,0,0,0,0
1,24800,132000,165000,"DebtCon","Mgr",19,0,0,187.666666666667,4,35,42.9265802025453,0,0,0,0,0,0,0,0,1
0,26500,20479,38964,"DebtCon","Other",11,1,0,102.752902435243,2,14,20.3535820849955,1,0,0,0,1,0,1,0,0
0,23100,71680,101492,"DebtCon","Mgr",1,1,0,230.361616210581,5,24,39.872708847035,0,0,0,1,1,0,0,0,0
0,16400,82869,94390,"DebtCon","ProfExe",8,0,2,358.050660232319,6,42,39.0606273081808,0,0,0,0,0,0,1,0,0
1,16800,50445,71711,"DebtCon","Other",5,0,0,71.2307616886999,5,18,40.5829134780229,0,0,0,0,0,0,0,0,0
0,25000,69300,111800,"DebtCon","Other",5,0,0,95.3666666666667,2,32,71.5121105669123,0,0,0,0,0,0,0,0,1
0,11000,63314,69285,"DebtCon","ProfExe",15,0,0,244.0177745152,3,32,36.5425702209969,0,0,0,0,0,0,0,0,0
0,6900,49000,68280,"DebtCon","Other",1,0,0,61.9,8,22,42.6334371830166,0,0,0,0,0,0,0,0,1
0,15800,71820,89739,"DebtCon","Other",0,1,1,122.955587062344,1,25,33.5190704431287,0,0,0,0,0,0,0,0,0
0,24600,221331,289991,"HomeImp","ProfExe",5,0,4,474.027074102776,1,55,31.4633845475658,0,0,0,1,0,0,1,0,0
0,9900,28432,36605,"HomeImp","Office",0,0,0,111.531625287919,1,29,37.5881956475546,0,0,0,0,0,0,0,0,0
0,12000,15635,63000,"NotProvided","NotProvided",0,0,0,101.793523273389,0,0,0.720295006744701,1,0,0,0,0,1,0,0,1
0,22500,40884,76895,"DebtCon","ProfExe",8,0,0,270.260196675883,0,18,39.9545727847026,0,0,0,0,0,0,0,0,0
0,16000,35799,51792,"DebtCon","Other",0,0,0,340.684968421493,1,17,30.6115187909973,1,0,1,1,1,0,1,0,0
0,16500,64992,97348,"HomeImp","Office",8,0,0,123.668820769324,0,11,36.1079235521182,0,0,0,1,1,0,0,0,0
0,10900,116030,125179,"DebtCon","Self",6,0,0,177.08584487724,0,19,33.849092538538,0,0,0,0,0,0,0,0,0
0,52000,31305,83147,"HomeImp","Other",3,1,0,268.385807714115,7,14,42.4029334664358,0,0,0,0,0,0,0,0,0
0,20500,39147,58049,"DebtCon","Other",8,0,0,202.903054265307,0,12,38.646018727052,0,0,1,0,0,0,0,0,0
0,11000,21738,86586,"HomeImp","ProfExe",20,0,0,241.060791060522,0,10,25.2185999498417,0,0,0,0,0,0,0,0,0
0,27700,103249,206521,"DebtCon","Other",24,0,0,196.781632850107,0,19,25.688176341517,0,0,0,0,0,0,0,0,0
0,20300,71387,107363,"HomeImp","Other",4,0,0,219.874730169864,0,13,29.5672214040427,0,0,0,0,0,0,0,0,0
0,20000,129682,180746,"NotProvided","Mgr",24,0,4,322.200258574457,0,27,30.891171386126,0,0,0,1,0,0,0,0,0
1,22900,67312,95000,"HomeImp","Mgr",3.9,0,2,122.766666666667,0,32,43.8092920700457,0,0,0,0,0,0,0,0,1
0,11100,48031,107561,"DebtCon","ProfExe",5,0,1,226.781105130087,0,9,24.1903266245408,0,0,0,0,0,0,0,0,0
0,20600,91183,138268,"DebtCon","Other",12,0,0,113.166635820195,3,15,41.2078557367892,0,0,0,0,0,0,0,0,0
1,25000,117500,165000,"DebtCon","ProfExe",17.5,0,3,239.4,1,27,39.5935952234611,0,0,0,0,0,0,0,0,1
0,20600,114947,173502,"DebtCon","Office",4,0,0,219.336879552251,4,24,40.5437389158941,0,0,0,0,0,0,0,0,0
0,30000,109583,153132,"DebtCon","ProfExe",10,0,0,162.384007198246,1,16,33.7603052360147,0,0,0,0,0,0,0,0,0
0,11900,83877,208924,"HomeImp","Self",15,0,0,12.7520469409329,1,7,18.2497219155308,0,0,0,0,0,0,1,0,0
0,9100,59430,76897,"HomeImp","Other",5,0,1,246.095109105895,1,16,37.4709233761537,0,0,0,0,0,0,0,0,0
0,9700,29094,51990,"NotProvided","Other",30,0,0,246.195239327797,0,19,20.7433647114706,0,0,0,0,0,0,0,0,0
0,21500,129361,284790,"HomeImp","Mgr",3,0,0,199.2195954806,0,15,30.406259431786,0,0,0,0,0,0,0,0,0
1,3000,47000,82700,"HomeImp","ProfExe",10,0,1,262.166666666667,5,26,39.9353435679503,0,0,0,0,0,0,0,0,1
1,3800,19135,97692,"HomeImp","Mgr",1.6,1,6,252.633333333333,1,25,37.4346153551874,0,0,0,0,0,0,0,0,1
0,12500,77937,89710,"DebtCon","Mgr",19,0,0,223.587415195325,10,24,35.9519986480158,0,0,0,0,0,0,0,0,0
0,11300,56651,71353,"HomeImp","Other",29,1,2,176.912987761253,1,24,38.5444418570094,0,0,0,0,0,0,0,0,0
0,15000,50370,68020,"NotProvided","NotProvided",1,0,0,71.766557161476,0,0,1.92069436699184,1,0,0,0,0,1,0,0,0
0,4800,80482,88342,"HomeImp","ProfExe",7,0,0,275.032394832909,0,11,43.7176351117471,0,0,0,0,0,0,0,0,0
0,22400,37726,59799,"DebtCon","Other",3.5,0,0,219.489298471026,0,12,41.1490412313254,0,0,1,0,0,0,0,0,0
1,21000,96000,125000,"DebtCon","Sales",0.3,1,2,116.9,1,19,34.1447259470097,0,0,0,0,1,0,0,0,1
0,9900,72674,89909,"DebtCon","Office",15,0,1,90.957899517083,0,8,27.3546340701425,0,0,0,0,0,0,0,0,0
0,17100,22162,128989,"DebtCon","Other",11,0,0,367.997093499162,0,9,40.6409161131414,0,0,0,0,0,0,0,0,0
0,10800,75378,86060,"DebtCon","Mgr",6,0,0,102.665070779692,0,23,30.0950096895243,0,0,0,0,0,0,0,0,0
0,31500,10879,58089,"DebtCon","Other",0,0,0,94.248035717612,0,5,38.6624022725143,0,0,0,0,0,0,0,0,0
0,15100,101378,143229,"HomeImp","ProfExe",12,0,0,129.537315189494,4,21,36.7762127676216,0,0,0,0,0,0,0,0,0
0,12100,48622,83158,"HomeImp","Other",4,0,2,191.569291576587,0,12,29.2044995549156,0,0,0,0,0,0,0,0,0
1,19300,152000,182000,"HomeImp","Self",1,0,0,192.479152191367,5,24,23.0829053415232,0,0,0,1,1,1,1,1,1
0,41700,12375,71029,"HomeImp","Office",16,0,0,325.284193153194,0,19,16.1014341406577,0,0,1,0,0,0,0,0,0
0,18300,35975,60500,"DebtCon","Office",13,0,2,118.666666666667,1,22,42.9300430965424,0,0,0,0,0,0,0,0,1
1,13500,83673,109000,"HomeImp","Mgr",2.3,0,1,238.4,3,57,32.5603593988066,0,0,0,0,0,0,0,0,1
1,15000,40772,62025,"HomeImp","Other",2,0,1,120.6,2,19,26.4575244491769,0,0,1,0,0,0,0,0,1
1,2400,28000,40800,"HomeImp","Mgr",12,0,0,67.2,2,22,35.9658982146279,0,0,0,0,0,0,0,0,1
0,22100,95351,117905,"DebtCon","Other",25,0,0,233.748451814911,1,27,41.5237229903339,0,0,0,0,0,0,0,0,0
0,26200,141109,245422,"HomeImp","ProfExe",28,0,0,343.787122322366,1,18,38.1135559370199,0,0,0,0,0,0,0,0,0
0,40700,11541,64714,"HomeImp","Office",34,1,0,298.648531678176,0,19,16.5302805001104,0,0,1,0,0,0,0,0,0
0,18700,59929,89526,"DebtCon","Office",0,0,0,64.4547252778484,0,22,35.0873486471443,0,0,0,0,0,0,0,0,0
0,28900,89945,124453,"DebtCon","Other",2,0,0,194.910249490191,2,25,42.7197745732403,0,0,0,0,0,0,0,0,0
0,20100,84965,110676,"DebtCon","Mgr",18,0,0,244.029729965527,5,30,38.6278302186764,0,0,0,0,0,0,0,0,0
0,42000,21314,68047,"DebtCon","Other",21,0,0,209.897694168344,1,30,39.9463853523631,0,0,0,0,0,0,0,0,0
0,27000,54834,85391,"DebtCon","Other",9,0,1,132.578544585993,2,30,39.3057391169647,0,0,0,0,0,0,0,0,0
0,21300,185874,235968,"DebtCon","ProfExe",3,0,0,291.819538766479,1,26,36.9936499522364,0,0,0,0,0,0,0,0,0
0,21000,94019,134565,"DebtCon","ProfExe",0,0,0,196.197907543228,0,21,26.8677339600389,0,0,1,0,0,0,0,0,0
0,37800,31214,58282,"DebtCon","Other",10,0,0,37.2350004791608,7,0,34.226189581317,0,0,1,0,0,1,0,0,0
0,17200,52011,65800,"DebtCon","Other",7,0,1,120.323979222485,2,48,30.5565118731496,0,0,0,0,0,0,0,0,0
0,11000,102000,120000,"DebtCon","NotProvided",3,0,0,125.8,1,26,39.9967104022143,0,0,0,0,0,0,0,0,1
0,20300,37388,55703,"DebtCon","Other",13,0,0,222.733566999488,0,12,39.8147368420915,0,0,1,0,0,0,0,0,0
0,22100,36948,65192,"HomeImp","Office",9,0,0,128.156793096269,1,4,18.8829556006719,1,0,0,0,0,0,0,0,0
0,16900,43643,80639,"DebtCon","Mgr",3,0,0,128.581823687792,1,8,28.8959548541745,0,0,0,0,0,0,0,0,0
0,12000,57371,69076,"DebtCon","Mgr",10,1,0,83.2519720385418,1,19,29.6321082556304,0,0,0,0,0,0,0,0,0
1,21000,113954,136249,"DebtCon","Office",2,0,0,97.544252183647,13,14,33.6208834347226,0,0,0,0,0,0,0,0,0
0,14700,35832,66260,"DebtCon","ProfExe",7,0,0,277.794086748368,0,16,23.7053592841259,0,0,0,0,0,0,0,0,0
0,17500,85183,108948,"HomeImp","ProfExe",4,0,0,125.109485641336,1,25,37.1030259919833,0,0,0,0,0,0,0,0,0
0,13700,32942,40143,"HomeImp","Other",8,0,0,65.0007422515671,2,12,30.2683688490458,0,0,0,0,0,0,0,0,0
1,27200,61118,35184,"DebtCon","Sales",10,4,2,134.648904299144,7,23,45.2552896595957,0,0,0,0,0,0,0,0,0
0,11700,78157,103016,"DebtCon","Mgr",1,0,0,69.805697668312,2,24,38.4483871150056,0,0,0,0,0,0,0,0,0
0,8200,9999,33540,"HomeImp","Office",21,0,0,178.687927540692,0,15,36.6016988561217,1,0,0,0,0,0,0,0,0
0,16600,44875,50732,"DebtCon","Office",0,0,0,96.3628947461399,2,9,42.3991392785726,1,0,0,0,0,0,0,0,0
1,7000,83000,97635,"HomeImp","Other",5.6,3,0,141,0,10,36.9469974926845,0,0,0,0,0,0,0,0,1
