Year;Gender;Age; Marital Status;Educational Level;Religion;Job;Description of the charge;crime;Number
2012;Female;29;Married;High School;Muslim;House Wife;House Burglary ;Burglary;1
2012;Male;51;Married;High School;Muslim;Employee;Theft from / in farm;Burglary;1
2012;Female;36;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;23;Married;High School;Muslim;Employee;Motorcycle theft;Thefting;1
2012;Female;45;Not Specified;High School;Muslim;Teacher;Murder;Murder;1
2012;Female;43;Married;High School;Muslim;Teacher;Theft from / in the villa;Burglary;1
2012;Male;26;Married;High School;Muslim;Employee;Theft from / in workers' housing;Thefting;1
2012;Male;37;Single;High School;Muslim;Employee;Theft from / in farm;Burglary;1
2012;Male;46;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;31;Divorced;High School;Muslim;Employee;Kidnapping;Kidnapping;1
2012;Male;29;Married;High School;Muslim;Employee;Rape;Rape;1
2012;Male;22;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;31;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Male;38;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Male;29;Not Specified;High School;Muslim;Not Specified;Assaulting the safety of the body of others leading to death;Assault;1
2012;Male;37;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;40;Divorced;High School;Muslim;Not Specified;Motorcycle theft;Thefting;1
2012;Male;27;Single;High School;Muslim;Employee;Theft from / in a company or institution;Thefting;1
2012;Male;26;Divorced;High School;Muslim;Employee;Deliberately setting fire to car;vandalism;1
2012;Male;23;Single;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;29;Married;High School;Muslim;Student;Theft from / on a public road;Thefting;1
2012;Male;23;Married;High School;Muslim;Employee;Theft from / in government facilities;Thefting;1
2012;Male;32;Single;High School;Muslim;Student;Assaulting the safety of the body of others leading to death;Assault;1
2012;Male;20;Single;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;28;Not Specified;High School;Muslim;Student;Murder;Murder;1
2012;Male;42;Married;High School;Muslim;Business Man;Car Thift;Thefting;1
2012;Female;29;Single;High School;Muslim;Employee;Rape;Rape;1
2012;Male;36;Married;High School;Muslim;Employee;Rape;Rape;1
2012;Male;31;Single;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;35;Married;High School;Muslim;Student;Theft from / in farm;Burglary;1
2012;Male;23;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;39;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;24;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;38;Married;High School;Muslim;Employee;Theft from / on a public road;Thefting;1
2012;Male;25;Married;High School;Muslim;Employee;Kidnapping;Kidnapping;1
2012;Male;31;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;34;Divorced;High School;Muslim;Student;Theft from / in the villa;Burglary;1
2012;Female;89;Widow;High School;Muslim;House Wife;The attempted murder;Murder;1
2012;Male;36;Married;High School;Muslim;Employee;Theft from / in a company or institution;Thefting;1
2012;Male;60;Not Specified;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;26;Married;High School;Muslim;Employee;Theft from / in a company or institution;Thefting;1
2012;Female;56;Widow;High School;Muslim;Not Specified;The attempted murder;Murder;1
2012;Male;18;Single;High School;Muslim;Not Specified;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;30;Divorced;High School;Muslim;Employee;Theft from / in an apartment;Burglary;1
2012;Male;19;Married;High School;Muslim;Employee;Murder;Murder;1
2012;Male;35;Not Specified;High School;Muslim;Employee;Murder;Murder;1
2012;Male;47;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;70;Divorced;High School;Muslim;Not Specified;Theft from / in farm;Burglary;1
2012;Male;44;Married;High School;Muslim;Employee;Theft from / in the villa;Burglary;1
2012;Male;17;Not Specified;High School;Muslim;Student;Murder;Murder;1
2012;Male;44;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Female;39;Married;High School;Muslim;House Wife;Theft from / in the villa;Burglary;1
2012;Male;40;Married;High School;Muslim;Student;Theft from / in farm;Burglary;1
2012;Male;17;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;37;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Male;23;Single;High School;Muslim;Student;Assaulting the safety of the body of others leading to death;Assault;1
2012;Male;17;Single;High School;Muslim;Student;The attempted murder;Murder;1
2012;Male;37;Single;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;40;Married;High School;Muslim;Student;Stealing from / on a farm;Burglary;1
2012;Male;35;Married;High School;Muslim;Employee;Theft from / in the warehouse;Thefting;1
2012;Male;70;Married;High School;Muslim;Not Specified;Theft from / in the warehouse;Thefting;1
2012;Male;36;Married;High School;Muslim;Employee;Theft from / in the villa;Burglary;1
2012;Male;34;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;54;Married;High School;Muslim;Unemployed;House Burglary ;Burglary;1
2012;Female;30;Married;High School;Muslim;Employee;House Burglary ;Burglary;1
2012;Female;39;Married;High School;Muslim;House Wife;Theft from / on a public road;Thefting;1
2012;Male;32;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;46;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Female;43;Divorced;High School;Muslim;Not Specified;House Burglary ;Burglary;1
2012;Male;17;Single;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;44;Married;High School;Muslim;Engineer;Theft from / in the villa;Burglary;1
2012;Female;36;Divorced;High School;Muslim;Employee;Theft from / in an apartment;Burglary;1
2012;Female;19;Not Specified;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;18;Single;High School;Muslim;Student;The attempted murder;Murder;1
2012;Male;41;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Female;48;Widow;High School;Muslim;House Wife;Theft from / in the villa;Burglary;1
2012;Male;85;Widow;High School;Muslim;Not Specified;Stealing from / on a farm;Burglary;1
2012;Male;18;Single;High School;Muslim;Baby;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;40;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Male;15;Single;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;14;Single;High School;Muslim;Not Specified;Kidnapping;Kidnapping;1
2012;Male;45;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;42;Married;High School;Muslim;Employee;Theft from / in a company or institution;Thefting;1
2012;Female;36;Divorced;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;35;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;18;Single;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;15;Single;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Female;60;Divorced;High School;Muslim;House Wife;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Female;24;Married;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;24;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;26;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;54;Married;High School;Muslim;Not Specified;Car Thift;Thefting;1
2012;Male;38;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Female;30;Divorced;High School;Muslim;House Wife;House Burglary ;Burglary;1
2012;Female;39;Divorced;High School;Muslim;House Wife;Theft from / in an apartment;Burglary;1
2012;Female;36;Married;High School;Muslim;Not Specified;House Burglary ;Burglary;1
2012;Male;57;Married;High School;Muslim;Retired;Theft from / in a desert or remote area;Thefting;1
2012;Male;68;Married;High School;Muslim;Lawyer;Theft from / in a building;Thefting;1
2012;Male;77;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Female;25;Single;High School;Muslim;Student;Theft from / in a company or institution;Thefting;1
2012;Male;26;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;37;Divorced;High School;Muslim;Unemployed;The attempted murder;Murder;1
2012;Male;71;Married;High School;Muslim;Business Man;Stealing from / on a farm;Burglary;1
2012;Male;14;Single;High School;Muslim;Baby;Murder;Murder;1
2012;Male;47;Single;High School;Not Specified;Seller;Theft from / on a public road;Thefting;1
2012;Male;12;Single;High School;Muslim;Unemployed;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;59;Married;High School;Muslim;Investor;Car Thift;Thefting;1
2012;Male;49;Single;High School;Hindu;Driver;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;37;Married;High School;Muslim;Driver;Car Thift;Thefting;1
2012;Male;48;Married;High School;Muslim;Officer;Theft from / in the villa;Burglary;1
2012;Male;39;Married;High School;Hindu;Partner;Theft from / in the villa;Burglary;1
2012;Male;42;Single;High School;Hindu;Worker;Theft from / on a public road;Thefting;1
2012;Male;15;Not Specified;High School;Not Specified;Not Specified;Kidnapping;Kidnapping;1
2012;Male;45;Single;High School;Muslim;Seller;Theft from / in an apartment;Burglary;1
2012;Male;38;Married;High School;Muslim;Seller;Car Thift;Thefting;1
2012;Male;36;Married;High School;Muslim;Bus Driver;Car Thift;Thefting;1
2012;Male;38;Married;High School;Muslim;Business Man;Theft from / in an apartment;Burglary;1
2012;Male;41;Married;High School;Muslim;Investor;Car Thift;Thefting;1
2012;Male;31;Single;High School;Muslim;Unemployed;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;37;Single;High School;Muslim;Driver;House Burglary ;Burglary;1
2012;Male;70;Married;High School;Muslim;Not Specified;Stealing from / on a farm;Burglary;1
2012;Male;41;Married;High School;Muslim;Investor;Theft from / in a company or institution;Thefting;1
2012;Female;15;Married;High School;Muslim;House Wife;Theft from / on a public road;Thefting;1
2012;Male;17;Single;High School;Muslim;Representative;Theft from / on a public road;Thefting;1
2012;Male;41;Single;High School;Muslim;Clerk;House Burglary ;Burglary;1
2012;Male;41;Single;High School;Muslim;Driver;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Female;23;Married;High School;Muslim;Student;The attempted murder;Murder;1
2012;Male;42;Single;High School;Muslim;Worker;Stealing from / on a farm;Burglary;1
2012;Male;33;Single;High School;Muslim;Representative;Theft from / in government facilities;Thefting;1
2012;Male;11;Single;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;112;Not Specified;High School;Not Specified;Not Specified;House Burglary ;Burglary;1
2012;Male;12;Single;High School;Muslim;Not Specified;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;44;Married;High School;Muslim;Investor;Theft from / in a company or institution;Thefting;1
2012;Female;57;Married;High School;Muslim;House Wife;Theft from / in a company or institution;Thefting;1
2012;Male;50;Married;High School;Muslim;Worker;Stealing from a bus;Thefting;1
2012;Male;46;Married;High School;Muslim;Engineer;Theft from / in a desert or remote area;Thefting;1
2012;Male;68;Married;High School;Muslim;Unemployed;Assaulting the safety of the body of others leading to death;Assault;1
2012;Male;50;Married;High School;Muslim;Worker;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;37;Single;High School;Muslim;Driver;The attempted murder;Murder;1
2012;Male;50;Married;High School;Muslim;Worker;Theft from / in government facilities;Thefting;1
2012;Male;58;Married;High School;Muslim;Partner;Theft from / in an apartment;Burglary;1
2012;Male;44;Married;High School;Muslim;Driver;The attempted murder;Murder;1
2012;Male;51;Married;High School;Hindu;Business Man;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;56;Married;High School;Muslim;Digger;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Female;44;Married;High School;Hindu;House Wife;Theft from / in an apartment;Burglary;1
2012;Female;35;Married;High School;Muslim;House Wife;Kidnapping;Kidnapping;1
2012;Male;55;Married;High School;Hindu;Worker;Murder;Murder;1
2012;Female;28;Married;High School;Muslim;House Wife;Theft from / in the villa;Burglary;1
2012;Male;14;Single;High School;Muslim;Unemployed;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;51;Married;High School;Muslim;Worker;Stealing from a bus;Thefting;1
2012;Female;45;Married;High School;Muslim;Investor;Theft from / in a company or institution;Thefting;1
2012;Male;39;Not Specified;High School;Muslim;Driver;House Burglary ;Burglary;1
2012;Male;47;Married;High School;Muslim;Seller;Stealing from / in a house;Burglary;1
2012;Male;28;Single;High School;Muslim;Driver;Car Thift;Thefting;1
2012;Male;49;Married;High School;Muslim;Driver;House Burglary ;Burglary;1
2012;Male;33;Married;High School;Muslim;Painter;Theft from / in workers' housing;Thefting;1
2012;Male;34;Single;High School;Muslim;Servant;Car Thift;Thefting;1
2012;Male;50;Married;High School;Muslim;Driver;House Burglary ;Burglary;1
2012;Male;46;Married;High School;Not Specified;Teacher;Theft from / in government facilities;Thefting;1
2012;Male;36;Not Specified;High School;Muslim;Electrician;Theft from / in workers' housing;Thefting;1
2012;Male;53;Married;High School;Muslim;Investor;Theft from / in workers' housing;Thefting;1
2012;Male;43;Married;High School;Muslim;Driver;Theft from / in a company or institution;Thefting;1
2012;Male;53;Married;High School;Muslim;Driver;Murder;Murder;1
2012;Male;42;Married;High School;Muslim;Employee;Theft from / on a public road;Thefting;1
2012;Male;44;Married;High School;Muslim;Manager;Theft from / in a desert or remote area;Thefting;1
2012;Male;43;Single;High School;Muslim;Patron;Theft from / in farm;Burglary;1
2012;Male;47;Not Specified;High School;Muslim;Investor;Theft from / in a company or institution;Thefting;1
2012;Male;36;Married;High School;Muslim;Driver;Car Thift;Thefting;1
2012;Male;51;Married;High School;Muslim;Representative;House Burglary ;Burglary;1
2012;Male;51;Married;High School;Muslim;Chef;Stealing from a bus;Thefting;1
2012;Male;21;Single;High School;Muslim;Unemployed;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;62;Married;High School;Muslim;Clerk;Car Thift;Thefting;1
2012;Female;33;Single;High School;Muslim;Nurse;Theft from / in the villa;Burglary;1
2012;Male;44;Married;High School;Muslim;Clerk;House Burglary ;Burglary;1
2012;Male;48;Married;High School;Muslim;Partner;Theft from / in an apartment;Burglary;1
2012;Male;30;Single;High School;Muslim;Driver;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;45;Married;High School;Muslim;Investor;Theft from / in a company or institution;Thefting;1
2012;Male;45;Married;High School;Sikh;Driver;Theft from / in an apartment;Burglary;1
2012;Male;15;Single;High School;Muslim;Not Specified;Theft from / on a public road;Thefting;1
2012;Male;12;Not Specified;High School;Muslim;Student;Murder;Murder;1
2012;Male;32;Married;High School;Muslim;Investor;Theft from / in an apartment;Burglary;1
2012;Male;50;Married;High School;Muslim;Driver;Theft from / on a public road;Thefting;1
2012;Male;45;Married;High School;Muslim;Partner;Theft from / in a company or institution;Thefting;1
2012;Male;58;Married;High School;Muslim;Representative;House Burglary ;Burglary;1
2012;Male;37;Married;High School;Muslim;Worker;Theft from / in a company or institution;Thefting;1
2012;Male;35;Married;High School;Muslim;Driver;Theft from / in workers' housing;Thefting;1
2012;Male;38;Single;High School;Muslim;Partner;Theft from / in a company or institution;Thefting;1
2012;Male;39;Married;High School;Muslim;Investor;Theft from / in workers' housing;Thefting;1
2012;Male;16;Single;High School;Muslim;Student;Theft from / on a public road;Thefting;1
2012;Female;34;Married;High School;Hindu;House Wife;Theft from / in an apartment;Burglary;1
2012;Male;36;Single;High School;Muslim;Manager;Theft from / in an apartment;Burglary;1
2012;Male;38;Single;High School;Not Specified;Partner;Theft from / in a company or institution;Thefting;1
2012;Male;36;Married;High School;Hindu;Investor;Theft from / on a public road;Thefting;1
2012;Male;52;Married;High School;Muslim;Engineer;Theft from / in an apartment;Burglary;1
2012;Male;54;Married;High School;Muslim;Public Relation Employee;Theft from / in a company or institution;Thefting;1
2012;Male;49;Married;High School;Muslim;Seller;Theft from / in a company or institution;Thefting;1
2012;Female;26;Single;High School;Muslim;House Wife;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;44;Married;High School;Muslim;Shoe Maker;Theft from / in a company or institution;Thefting;1
2012;Male;39;Married;High School;Muslim;Civil Engineer;Theft from / in a company or institution;Thefting;1
2012;Male;47;Married;High School;Muslim;Manager;Theft from / in an apartment;Burglary;1
2012;Male;66;Married;High School;Muslim;Seller;Theft from / in a company or institution;Thefting;1
2012;Male;49;Married;High School;Muslim;Seller;Theft from / in a company or institution;Thefting;1
2012;Female;26;Married;High School;Muslim;House Wife;Theft from / in a company or institution;Thefting;1
2012;Male;49;Married;High School;Muslim;Driver;Car Thift;Thefting;1
2012;Male;51;Married;High School;Muslim;Employee;Theft from / in an apartment;Burglary;1
2012;Male;16;Single;High School;Muslim;Student;Theft from / on a public road;Thefting;1
2012;Male;54;Married;High School;Not Specified;Worker;Theft from / in workers' housing;Thefting;1
2012;Male;16;Single;High School;Muslim;Student;Theft from / on a public road;Thefting;1
2012;Male;22;Single;High School;Muslim;Sales Executive;Theft from / in an apartment;Burglary;1
2012;Female;40;Married;High School;Muslim;House Wife;Theft from / in a company or institution;Thefting;1
