Category,Procuct,Country,Date,Month,Year,Verified,Helpful,Title,Body,Rating,,,
Vitamin C,B000GG87V2,United States ,November 9,November,2019,yes,-,Good product,Came on time but are a little hard to swallow. Liked the capsules better but could not find them.,4,,,
Vitamin C,B000GG87V2,United States ,December 11,December,2018,yes,-,Five Stars,Can not complain,5,,,
Vitamin C,B000GG87V2,United States ,March 13,March,2017,yes,yes,Can't chew it and if you just try to suck on it to dissolve it you'll have a burned ...,Can't chew it and if you just try to suck on it to dissolve it you'll have a burned tongue.  Uncoated and couldn't be swallowed.  Going back to Costco for the pricey chewables.,2,,,
Vitamin C,B000GG87V2,United States ,October 21,October,2020,yes,-,Great value,"Can't go wrong with the ""C"".",5,,,
Vitamin C,B000GG87V2,United States ,May 10,May,2016,-,yes,Vitimin C cures respitory ailments & more...,"Cannot say enough about the wonders of Vitamin C!Too much sun at the beach making you tired?  Pop a C & feel rejuvenated in 15 minutes!Coming down with seasonal allergies?  Get on a regime of C & zinc.Head cold, sore throat or a touch of 'flu coming on?  Head for the C.A maintenence dose is 500mg a day.A therapeutic dose is 3000mg a day, or to bowel tolerance.  Once you've reach bowel tolerance, you body simply excretes the excess C.  You can build up your bowel tolerance level incrementally.",5,,,
Vitamin C,B000GG87V2,United States ,August 15,August,2017,yes,-,Good for me,Canot go wrong with Nature's Bounty.  Thanks for making this available.,5,,,
Vitamin C,B000GG87V2,United States ,February 22,February,2019,yes,-,Can’t hurt,"Can’t hurt, not sure if I notice a difference or not though",5,,,
Vitamin C,B000GG87V2,United States ,September 15,September,2017,yes,-,I wouldnt buy again,"Chalky, with a bad taste!",3,,,
Vitamin C,B000GG87V2,United States ,March 10,March,2018,yes,-,Five Stars,Cold prevention,5,,,
Vitamin C,B000GG87V2,United States ,September 14,September,2018,yes,-,Decent Price and Quality,Decent price for a name brand vitamin C. I was using the Ester C but witches to these.,4,,,
Vitamin C,B000GG87V2,United States ,January 3,January,2016,yes,-,Five Stars,Delivered as advertised,5,,,
Vitamin C,B000GG87V2,United States ,January 17,January,2016,yes,-,Five Stars,Dependable brand,5,,,
Vitamin C,B000GG87V2,United States ,November 28,November,2017,yes,yes,Ew,"Do not buy these, especially if you have children. They will not enjoy taking these, they taste bitter and chalky and nasty! You will get sick from just the taste of them. Ew",1,,,
Vitamin C,B000GG87V2,United States ,March 5,March,2020,yes,yes,Beware of taste,Do not chew! If you do be prepared for a mouthful of horror!! The vitamin has helped to boost my immunity but I have to swallow quickly so that it doesn’t dissolve in my mouth,5,,,
Vitamin C,B000GG87V2,United States ,June 15,June,2020,yes,-,Hard to swallow,Do you chew these?!? They are so hard to swallow! No coating on them!,3,,,
Vitamin C,B000GG87V2,United States ,May 28,May,2020,yes,yes,Basic,Don't know if I will get this again but this is very tart.,2,,,
Vitamin C,B000GG87V2,United States ,July 21,July,2020,yes,-,Great addition to your vitamin regiment,Don't taste too good but great value for the money. Take them every day,4,,,
Vitamin C,B000GG87V2,United States ,July 26,July,2017,yes,yes,Wish they were chewable,Dosage is 3-4 tablets daily. This makes it a expensive solution. Prefer a once a day dose in chewable form.,3,,,
Vitamin C,B000GG87V2,United States ,January 3,January,2015,yes,yes,EXCELLENT BUY! NATURE'S BOUNTY PRODUCTS ARE MADE IN THE ...,"EXCELLENT BUY!  NATURE'S BOUNTY PRODUCTS ARE MADE IN THE USA, NOT DISTRIBUTED BY A U.S. COMPANY SO WE DON'T KNOW WHERE THEY ARE MADE.  EXCELLENT QUALITY.  GOOD BUY.  WILL CONTINUE TO PURCHASE THE NB PRODUCTS FROM AMAZON.",5,,,
Vitamin C,B000GG87V2,United States ,May 16,May,2020,yes,-,EXCELLENT...,EXCELLENT...,5,,,
Vitamin C,B000GG87V2,United States ,August 16,August,2020,yes,-,Easy to take.,Easy to shallow.,5,,,
Vitamin C,B000GG87V2,United States ,July 11,July,2020,yes,-,Good,Easy to swallow,5,,,
Vitamin C,B000GG87V2,United States ,October 15,October,2020,yes,-,Good price,Easy to swallow,4,,,
Vitamin C,B000GG87V2,United States ,June 2,June,2016,yes,-,Four Stars,Easy to swallow,4,,,
Vitamin C,B000GG87V2,United States ,February 22,February,2020,yes,yes,Great addition to multivitamin during cold and flu season,Easy to swallow pill with no flavor on it or in it at all. Great addition to a multivitamin during cold and flu season.,5,,,
Vitamin C,B000GG87V2,United States ,June 17,June,2018,yes,-,Four Stars,Easy to swallow tablets.  What I expected.  Good value for the money.,4,,,
Vitamin C,B000GG87V2,United States ,October 5,October,2020,-,-,Once a day dose in easy to swallow dose and is economical.,Easy to swallow. One per day dose. Economical.,5,,,
Vitamin C,B000GG87V2,United States ,July 13,July,2020,yes,-,Good product. Good source.,Easy to swallow.Exceeds recom daily doseComfort level is high for manufacturer's practices.,5,,,
Vitamin C,B000GG87V2,United States ,March 23,March,2020,yes,-,Great Value,Easy to swollow,5,,,
Vitamin C,B000GG87V2,United States ,January 25,January,2019,yes,-,Easy to take,Easy to take,5,,,
Vitamin C,B000GG87V2,United States ,August 15,August,2020,yes,-,Sour,Easy to take but they are really sour! I this is the first time I  used this brand. Others weren't as sour as these.,4,,,
Vitamin C,B000GG87V2,United States ,October 5,October,2020,yes,yes,Health i guess,"Easy to take, no flavor, not sure if any benefits from it but i do it anyways",4,,,
Vitamin C,B000GG87V2,United States ,May 14,May,2016,yes,-,Immune Support,Easy to take. Makes it too easy to add some extra immune support into our systems. No adverse side effects. I'm happy,5,,,
Vitamin C,B000GG87V2,United States ,August 8,August,2020,yes,-,Tiene los miligramos requeridos para una dosis diaria,Es un buen producto,5,,,
Vitamin C,B000GG87V2,United States ,September 16,September,2020,yes,-,These are great,Ever since COVID I started taking more of my vitamins. These are great.,5,,,
Vitamin C,B000GG87V2,United States ,July 9,July,2016,yes,yes,Flu and Cold Free,Every Winter like clock work I get either the flu or a cold no matter how hard I try to avoid it like the plague. But living in New York City it's very hard to do especially when you take public transportation with everybody hacking and breathing in the same air.  So upon the advice of a friend I decided to give this brand and Vitamin C a go and let me tell you I have yet to even get a sniffle.Update: 7/3/18...since taking this as a regular supplement I have not have a cold or flu since writing the original review. The moment I stop taking it and I feel a scratchy throat coming on I take 2 and like magic my scratchy throat is gone.,5,,,
Vitamin C,B000GG87V2,United States ,August 2,August,2020,yes,-,They melt in a humid room,"Every week I put my vitamins in a monthly case, Monday Tuesday Wednesday etc. this summer it’s been so hot and humid that the vitamin C pills are dissolved and stuck to the other pills. I’m hoping I solve the problem by putting the little cases in a plastic bag with some desiccant from another package. To be honest, I really don’t like these vitamin C‘s.",3,,,
Vitamin C,B000GG87V2,United States ,April 21,April,2016,yes,-,Five Stars,Exactly matches the description.  Ships quickly.,5,,,
Vitamin C,B000GG87V2,United States ,December 31,December,2019,yes,-,Good buy!,Exactly what I needed. Thank you.,5,,,
Vitamin C,B000GG87V2,United States ,January 7,January,2020,yes,yes,Good product (doctor recommended),Excel product as recommended by my family doctor.  Speedy speedy service.  Will buy again from this seller.,5,,,
Vitamin C,B000GG87V2,United States ,September 15,September,2020,yes,-,Excellent,Excellent,5,,,
Vitamin C,B000GG87V2,United States ,October 26,October,2016,yes,-,Good product,Excellent,5,,,
Vitamin C,B000GG87V2,United States ,November 12,November,2015,yes,-,Five Stars,Excellent,5,,,
Vitamin C,B000GG87V2,United States ,January 18,January,2020,yes,-,Great value,Excellent addition to daily vitamin intake. Good quality and a great price. Quick delivery. Overall good experience with seller,5,,,
Vitamin C,B000GG87V2,United States ,October 19,October,2017,yes,-,Five Stars,Excellent product,5,,,
Vitamin C,B000GG87V2,United States ,December 16,December,2014,yes,-,Five Stars,"Excellent product, I will buy it again.",5,,,
Vitamin C,B000GG87V2,United States ,September 22,September,2014,yes,-,Five Stars,Excellent!!!,5,,,
Vitamin C,B000GG87V2,United States ,October 2,October,2014,-,-,"Excellent, as expected","Excellent, as expected",5,,,
Vitamin C,B000GG87V2,United States ,October 7,October,2020,yes,-,Good product,Excellent.,5,,,
Vitamin C,B000GG87V2,United States ,June 6,June,2020,yes,-,Fair cost,Fair cost. Fast delivery.,5,,,
Vitamin C,B000GG87V2,United States ,November 6,November,2020,yes,-,"Standard vitamin C, but a little chalky","Fairly standard vitamin C tablets, but a little chalky which can make the difficult to swallow for those who don't have the easiest time getting pills down.",4,,,
Vitamin C,B000GG87V2,United States ,March 18,March,2020,yes,-,"Did not like. Powdery,",Falls apart. Powdery.,1,,,
Vitamin C,B000GG87V2,United States ,May 20,May,2016,yes,-,Five Stars,Fast shipping! Item as described,5,,,
Vitamin C,B000GG87V2,United States ,November 11,November,2014,yes,-,Fast Shipping,"Fast shipping, great product!  Thank you!",5,,,
Vitamin C,B000GG87V2,United States ,October 19,October,2020,yes,-,You get your money's worth,Fine product. No complaints.,5,,,
Vitamin C,B000GG87V2,United States ,October 20,October,2019,yes,yes,Awful taste,Flavor is awful but does what it needs to do,4,,,
Vitamin C,B000GG87V2,United States ,December 21,December,2013,yes,-,Little big pills,"For me it's a bit big. My husband ate his feel great, I prefer candy VC.But this is also a good brand.",4,,,
Vitamin C,B000GG87V2,United States ,July 26,July,2019,yes,-,Good,Good,5,,,
Vitamin C,B000GG87V2,United States ,September 16,September,2020,yes,-,Good,Good,5,,,
Vitamin C,B000GG87V2,United States ,February 27,February,2020,yes,-,Great,Good,5,,,
Vitamin C,B000GG87V2,United States ,July 31,July,2020,yes,-,Good,Good,5,,,
Vitamin C,B000GG87V2,United States ,February 1,February,2017,yes,-,Five Stars,Good,5,,,
Vitamin C,B000GG87V2,United States ,September 21,September,2018,yes,-,Great,Good,5,,,
Vitamin C,B000GG87V2,United States ,May 17,May,2018,yes,-,Five Stars,Good,5,,,
Vitamin C,B000GG87V2,United States ,March 28,March,2018,yes,-,Four Stars,Good,4,,,
Vitamin C,B000GG87V2,United States ,October 16,October,2015,yes,-,Five Stars,Good,5,,,
Vitamin C,B000GG87V2,United States ,January 11,January,2020,yes,-,As expected.,Good buying experience.,5,,,
Vitamin C,B000GG87V2,United States ,May 13,May,2020,yes,-,Good deal,Good deal,5,,,
Vitamin C,B000GG87V2,United States ,August 4,August,2016,yes,-,Five Stars,Good deal,5,,,
Vitamin C,B000GG87V2,United States ,August 18,August,2020,yes,-,Good,Good for the immune system.,5,,,
Vitamin C,B000GG87V2,United States ,September 26,September,2020,yes,-,I’ll order again,Good price,5,,,
Vitamin C,B000GG87V2,United States ,April 21,April,2015,yes,-,Five Stars,Good price and it seems to work,5,,,
Vitamin C,B000GG87V2,United States ,October 22,October,2020,yes,-,Good price,Good price especially when everywhere was out of stock of vitamin c couple months ago due to pandemic.,5,,,
Vitamin C,B000GG87V2,United States ,September 16,September,2020,yes,-,Good source of Vitamin C,Good price for Vitamin C.  Small and easy to swallow.,5,,,
Vitamin C,B000GG87V2,United States ,March 30,March,2017,yes,-,Vitamin C at Fair Price,Good price for a good quality product.,5,,,
Vitamin C,B000GG87V2,United States ,June 5,June,2020,yes,-,Good value for the price,Good price for the number of tablets,5,,,
Vitamin C,B000GG87V2,United States ,July 26,July,2020,yes,-,Price,Good price size flavor,5,,,
Vitamin C,B000GG87V2,United States ,September 28,September,2019,yes,-,"Nature's Bounty Vitamin C Supplement, 500mg, 250 Tablets","Good price, and quick delivery",5,,,
Vitamin C,B000GG87V2,United States ,June 13,June,2016,yes,-,Great,"Good price, delivered to the door, good brand.",5,,,
Vitamin C,B000GG87V2,United States ,May 29,May,2018,yes,-,Five Stars,Good price.,5,,,
Vitamin C,B000GG87V2,United States ,September 19,September,2014,yes,-,Five Stars,Good price.,5,,,
Vitamin C,B000GG87V2,United States ,June 16,June,2020,yes,-,Good price????,Good price????,5,,,
Vitamin C,B000GG87V2,United States ,April 5,April,2019,yes,-,.,Good product,5,,,
Vitamin C,B000GG87V2,United States ,July 15,July,2020,yes,-,vitamin,Good product,5,,,
Vitamin C,B000GG87V2,United States ,December 14,December,2019,yes,-,Good product,Good product,4,,,
Vitamin C,B000GG87V2,United States ,March 3,March,2018,yes,-,Good deal,Good product at a good price.,5,,,
Vitamin C,B000GG87V2,United States ,April 30,April,2020,yes,-,Good,Good product will buy again,5,,,
Vitamin C,B000GG87V2,United States ,October 26,October,2016,yes,-,Four Stars,Good product!,4,,,
Vitamin C,B000GG87V2,United States ,September 5,September,2018,yes,-,Five Stars,Good product.,5,,,
Vitamin C,B000GG87V2,United States ,July 28,July,2018,yes,-,Five Stars,Good product.,5,,,
Vitamin C,B000GG87V2,United States ,April 7,April,2016,yes,yes,Good,Good product.,1,,,
Vitamin C,B000GG87V2,United States ,October 25,October,2016,yes,-,Five Stars,Good product. Arrived on time and as advertised.,5,,,
Vitamin C,B000GG87V2,United States ,August 19,August,2020,yes,-,Ouchie!,"Good quality product and happy to be proactive with my immune function - to the extent possible - during these times. Just want to warn others to NOT try to take these with any other pills! If it catches at all on the way down, it will fizz and burn your throat. I think next time I will go with a flavored chewable...",5,,,
Vitamin C,B000GG87V2,United States ,August 15,August,2016,yes,-,Good stuff,Good quality vitamins at a good price,5,,,
Vitamin C,B000GG87V2,United States ,January 26,January,2020,yes,-,Good quality supplement,"Good quality, less expensive than Walmart or Costco at the time of purchase (at least in our area—I always comparatively shop our subscriptions ahead of time), shipped on time, taste is not objectionable (taken only by adults who aren’t too picky). Overall a good quality supplement.",5,,,
Vitamin C,B000GG87V2,United States ,April 30,April,2019,yes,-,I will buy it again,Good studd,5,,,
Vitamin C,B000GG87V2,United States ,January 19,January,2020,yes,-,"Good product, good price",Good supplement.,5,,,
Vitamin C,B000GG87V2,United States ,August 5,August,2015,yes,-,Five Stars,Good value.,5,,,
Vitamin C,B000GG87V2,United States ,October 25,October,2020,yes,-,Hello,Good vitamin,5,,,
Vitamin C,B000GG87V2,United States ,February 19,February,2016,yes,-,Good value,Good vitamin,5,,,
Vitamin C,B000GG87V2,United States ,October 31,October,2017,yes,-,Vitamin C,Good vitamin c,5,,,
Vitamin C,B000GG87V2,United States ,May 7,May,2020,yes,-,Good product,Good vitamin to take to prevent colds.,5,,,
Vitamin C,B000GG87V2,United States ,February 22,February,2016,yes,-,Four Stars,"Good, but I am transiting to gummies....",4,,,
Vitamin C,B000GG87V2,United States ,September 24,September,2017,yes,-,Five Stars,Good. Cheap.,5,,,
Vitamin C,B000GG87V2,United States ,July 20,July,2020,yes,-,Good,Good. Like the pill size.,5,,,
Vitamin C,B000GG87V2,United States ,January 28,January,2019,yes,-,not for me,Got these to take with my iron pill and I was sick immediately. Sour in my stomach.,1,,,
Vitamin C,B000GG87V2,United States ,July 23,July,2014,yes,-,Five Stars,Great,5,,,
Vitamin C,B000GG87V2,United States ,June 1,June,2017,yes,-,Five Stars,Great,5,,,
Vitamin C,B000GG87V2,United States ,June 11,June,2016,yes,-,Great Deall !!!,Great Deall !!!,5,,,
Vitamin C,B000GG87V2,United States ,August 23,August,2014,yes,-,Great.,Great Get Well Soon item to send in care package.,5,,,
Vitamin C,B000GG87V2,United States ,March 14,March,2016,yes,-,Great Product! Fast Shipping,Great Product !  Fast Shipping !,5,,,
Vitamin C,B000GG87V2,United States ,March 14,March,2017,-,-,Great brand and value for several months of Vitamin C ...,"Great brand and value for several months of Vitamin C supplements.Added this to my every few months subscription, don't have to worry about running out and I am saving more than purchasing in store/through other  online retailers.Also came with an excellent expiration date- hasn't been sitting in a warehouse forever.",5,,,
Vitamin C,B000GG87V2,United States ,July 10,July,2016,yes,-,Five Stars,Great buy for the money will purchase again,5,,,
Vitamin C,B000GG87V2,United States ,October 16,October,2016,yes,-,Trusted brand,Great deal,5,,,
Vitamin C,B000GG87V2,United States ,September 2,September,2017,yes,-,Great Deal,"Great deal and quality! I was getting chewable ones, but they were expensive and eaten up fast. I like how long these last, and my eight year old doesn't mind swallowing them.",5,,,
Vitamin C,B000GG87V2,United States ,June 29,June,2015,yes,-,Five Stars,Great deal!!!!!!,5,,,
Vitamin C,B000GG87V2,United States ,May 3,May,2018,yes,yes,Five Stars,"Great deal, better than buying on sale at our local store. Easy to swallow size and shape.",5,,,
Vitamin C,B000GG87V2,United States ,April 22,April,2019,yes,-,Vitamins that are great priced,Great price,5,,,
Vitamin C,B000GG87V2,United States ,June 8,June,2020,yes,-,Buy again,Great price,5,,,
Vitamin C,B000GG87V2,United States ,December 21,December,2015,yes,-,Five Stars,Great price,5,,,
Vitamin C,B000GG87V2,United States ,July 16,July,2020,yes,-,Will buy again,"Great price, better than local stores",5,,,
Vitamin C,B000GG87V2,United States ,July 20,July,2017,yes,-,Five Stars,Great product,5,,,
Vitamin C,B000GG87V2,United States ,July 28,July,2020,yes,-,Easy to swallow,Great product,5,,,
Vitamin C,B000GG87V2,United States ,August 25,August,2020,yes,-,Very happy with product,Great product,5,,,
Vitamin C,B000GG87V2,United States ,April 19,April,2019,yes,-,Best vitamin c on market,Great product,5,,,
Vitamin C,B000GG87V2,United States ,December 28,December,2019,yes,-,Great,Great product,5,,,
Vitamin C,B000GG87V2,United States ,June 12,June,2020,yes,-,Vitamin C,Great product and i was unable to find this anywhere in town.  So glad I found it here as I take it daily.,5,,,
Vitamin C,B000GG87V2,United States ,February 18,February,2018,yes,-,Great product at a good price,Great product at a good price,5,,,
Vitamin C,B000GG87V2,United States ,July 24,July,2020,yes,-,Good,Great product for the price!,5,,,
Vitamin C,B000GG87V2,United States ,July 14,July,2017,yes,-,Great producy,Great product! Would recommend to anyone!,5,,,
Vitamin C,B000GG87V2,United States ,September 15,September,2015,yes,-,Five Stars,Great product!!,5,,,
Vitamin C,B000GG87V2,United States ,October 19,October,2020,yes,-,It's Vitamin C,"Great product, fair price. They taste like ascorbic acid if you let it sit in your mouth too long - which is exactly what it is. Also, these are not chewables. Don't chew them unless you really like sour/bitter things.These are a must during cold/flu season and for regular travel. Good to have on hand during the weirdness of 2020, as well.",5,,,
Vitamin C,B000GG87V2,United States ,February 22,February,2020,yes,-,Na,Great product.  Fast service,5,,,
Vitamin C,B000GG87V2,United States ,July 10,July,2018,yes,-,Great.,Great product. I've been using it for months.,5,,,
Vitamin C,B000GG87V2,United States ,September 11,September,2018,yes,-,Five Stars,"Great quality, price and tablet count",5,,,
Vitamin C,B000GG87V2,United States ,June 8,June,2020,yes,yes,Great products,Great taste and easy to swallow,5,,,
Vitamin C,B000GG87V2,United States ,August 4,August,2020,yes,yes,Small and easy to swallow,Great to boost immune system.,5,,,
Vitamin C,B000GG87V2,United States ,August 1,August,2020,yes,-,good value,Great to take for immune system.  Great pri.,5,,,
Vitamin C,B000GG87V2,United States ,June 28,June,2020,yes,-,Great price,Great value,5,,,
Vitamin C,B000GG87V2,United States ,August 23,August,2020,yes,-,Great vitamin,Great value,5,,,
Vitamin C,B000GG87V2,United States ,December 20,December,2016,yes,-,Five Stars,Great value and product,5,,,
Vitamin C,B000GG87V2,United States ,October 29,October,2020,yes,-,Great deal,"Great value for the price, and this was after checking around.",5,,,
Vitamin C,B000GG87V2,United States ,May 11,May,2020,yes,-,Work,Great value great taste,5,,,
Vitamin C,B000GG87V2,United States ,December 17,December,2019,-,-,"Great value, good quality","Great value, small tablet size, good price. Only drawback is the pills are not coated with anything...they sometimes will not go down the hatch easily. I think I’ve figured out what works for me...instead of putting the tablet in my mouth then drinking water, I put water in my mouth first, then throw the tablet in. This method seems to work almost every time without any issues.",4,,,
Vitamin C,B000GG87V2,United States ,October 28,October,2020,yes,yes,Good value,"Great value, without going to Chinamart",5,,,
Vitamin C,B000GG87V2,United States ,August 2,August,2016,yes,-,Five Stars,Great value.,5,,,
Vitamin C,B000GG87V2,United States ,May 24,May,2020,yes,yes,Vitamin C 500mg,Great vitamin c supplement. Highly recommend!!,5,,,
Vitamin C,B000GG87V2,United States ,October 28,October,2015,yes,-,Great vitamin. Kids aren't too happy as they would ...,"Great vitamin.  Kids aren't too happy as they would rather have a chewable, but they do the trick.",4,,,
Vitamin C,B000GG87V2,United States ,September 6,September,2020,yes,-,Help you immune,"Great vitamins, doesn’t taste bitter nor bad. The pill is bigger than my biotin pill but not difficult to swallow. It is bigger than a bean, but not an issue to swallow.",5,,,
Vitamin C,B000GG87V2,United States ,October 4,October,2015,yes,-,Five Stars,Great!,5,,,
Vitamin C,B000GG87V2,United States ,March 16,March,2014,yes,-,SAVE MONEY OVER BIG BOX STORES & PHARMACIES,"Great.  I'll be buying more because this size cuts my expenses by 30% and I need to save every dime possible.  Plus, I like this brand.",5,,,
Vitamin C,B000GG87V2,United States ,December 28,December,2019,yes,yes,Hard to swallow,"Hard to swallow, and too dusty.But good price",4,,,
Vitamin C,B000GG87V2,United States ,July 7,July,2020,yes,-,"Hard to swallow, tart taste, the same brand has capsule version for the same price per pill.","Hard to swallow, tart taste, the same brand has capsule version for the same price per pill. I recommend the capsule version.",2,,,
Vitamin C,B000GG87V2,United States ,May 9,May,2020,yes,-,Good Vitamins,"Have been taking this vitamins for years and since the stores no longer carry them, had to purchase through amazon.These are not capsules so they dont taste like plastic when swallowing.",5,,,
Vitamin C,B000GG87V2,United States ,February 29,February,2020,yes,yes,Good value,"Have use Nature's Bounty Vitamins for years and never have had a problem, these are no different. I put easy to swallow but that depends on you. These are 500mg each, so be aware of that. They are no problem for me in fact as these ran low I ordered the Nature's Bounty 1000mg Vitamin C and don't have a problem with them either. Wish I could tell you how effective they are but like all OTC Vitamins Who Knows! I do know that I trust the Nature Bounty Brand.",5,,,
Vitamin C,B000GG87V2,United States ,November 6,November,2017,yes,-,Five Stars,Haven't been sick while using this name brand product.,5,,,
Vitamin C,B000GG87V2,United States ,August 26,August,2020,yes,-,Keeps me healthy!!,Helpful for my immune system!!,5,,,
Vitamin C,B000GG87V2,United States ,May 14,May,2018,yes,-,Like Natures Bounty,How to avoid scurvy.  :),5,,,
Vitamin C,B000GG87V2,United States ,December 28,December,2016,yes,yes,Five Stars,I Have no issues with this item.,5,,,
Vitamin C,B000GG87V2,United States ,September 19,September,2020,yes,-,storm,I LIKE IT,5,,,
Vitamin C,B000GG87V2,United States ,March 26,March,2016,yes,yes,My vet recommended I put him on vitamin c because there were ...,"I actually get these for my dog.  My vet recommended I put him on vitamin c because there were crystals in his urine (apparently something that can happen in older dogs).  This seems to have done the trick, so I'm very happy with the product, especially given how inexpensive it is.",5,,,
Vitamin C,B000GG87V2,United States ,February 17,February,2015,yes,-,I actually use this product for my dogs. I ...,"I actually use this product for my dogs.  I was looking for a supplement with no added sugar and quality ingredients that my dogs would eat and this fits the bill.  On my second bottle, will continue to reorder.",4,,,
