,Category,Subcat,name,price,price_cat,stars,stars_cat,sales,sales_cat
40,Video & Animation,Animated GIFs,"animated GIF icon or banner for your website, app, social media",10,Very Low,5,Five,28,Low
41,Writing & Translation,Grant Writing,"write winning grant proposal, sponsorship, nonprofit, 501c3",30,Low,5,Five,11,Low
42,Video & Animation,3D Product Animation,render architectural realistic animation on lumion 10,30,Low,5,Five,8,Low
43,Business,Business Plans,"business plans for loan, investor, bank, sba, proposal",25,Low,5,Five,22,Low
44,Video & Animation,Game Trailers,made your own game trailer in game engines,20,Low,nul,No Star,nul,No Sale
45,Business,Lead Generation,give you 2020 verified cell number leads from USA,20,Low,5,Five,11,Low
46,Programming & Tech,Web Programming,build web or mobile app in bubble or fix yours,120,Medium,5,Five,13,Low
47,Business,Legal Consulting,"provide music law and entertainment law, contracts and services",10,Very Low,5,Five,7,Low
48,Business,HR ConsultingNew,assist in human resource management tasks,15,Low,4.9,Four+,79,Moderate
49,Programming & Tech,Chatbots,program you a discord bot,5,Very Low,nul,No Star,nul,No Sale
50,Lifestyle,Cooking Lessons,send exciting chinese keto recipes with pictures,25,Low,5,Five,2,Low
51,Business,Project ManagementNew,test website and assure quality plus project management task,20,Low,5,Five,3,Low
52,Writing & Translation,UX Writing,write clear and concise copy that is user friendly,40,Low,5,Five,5,Low
53,Music & Audio,DJ Drops & Tags,make dj drops intros radio sweepers and jingles,25,Low,4.8,Four+,30,Low
54,Music & Audio,Mixing & Mastering,mix and master your rock metal pop song,25,Low,5,Five,83,Moderate
55,Digital Marketing,Influencer Marketing,promote on my 830k tiktok account,125,Medium,5,Five,11,Low
56,Digital Marketing,Web Traffic,drive organic web traffic,40,Low,4.9,Four+,172,Huge
57,Business,Career Counseling,help perfect your interviewing skills,30,Low,nul,No Star,nul,No Sale
58,Lifestyle,Family & Genealogy,do research on one person,25,Low,4.9,Four+,14,Low
59,Writing & Translation,Business Names & Slogans,create perfect business name brand name domain name company name,5,Very Low,5,Five,3,Low
60,Lifestyle,Astrology & Readings,cast a business psychic spell to increase your sales,15,Low,5,Five,316,Huge
61,Writing & Translation,Proofreading & Editing,be your professional book editor,200,Medium,5,Five,31,Low
62,Programming & Tech,Game Development,create a VR game for you with unity and awesome tools,2502,High,5,Five,8,Low
63,Video & Animation,Article to VideoNew,"convert your article, blog or script into engaging video",5,Very Low,5,Five,28,Low
64,Lifestyle,Spiritual & Healing,cast an extreme focus spell on you to pass any exam or test,15,Low,5,Five,3,Low
65,Programming & Tech,Data Analysis & Reports,create a stunning google data studio dashboard for you,50,Low,5,Five,188,Huge
66,Lifestyle,Viral Videos,provide choreography for your song,40,Low,5,Five,10,Low
67,Writing & Translation,Creative Writing,write taboo and creative erotica just for you,25,Low,4.8,Four+,3,Low
68,Business,Branding Services,build positive online reputation management,5,Very Low,5,Five,22,Low
69,Lifestyle,Traveling,give you a graceful chinese name,5,Very Low,5,Five,1,Low
70,Writing & Translation,Case Studies,"essay and case study on psychology, healthcare or other",10,Very Low,4.8,Four+,33,Low
71,Programming & Tech,Game Development,make an amazing HTML5 web video game,100,Medium,5,Five,152,Huge
72,Video & Animation,Screencasting Videos,make HD screencast how to use website or app video,10,Very Low,4.9,Four+,19,Low
73,Music & Audio,Session Musicians,record turkish baglama saz for your project or song,15,Low,5,Five,3,Low
74,Programming & Tech,Desktop Applications,"develop windows,  linux and mac desktop applications",350,High,5,Five,40,Low
75,Video & Animation,Short Video Ads,create a modern facebook video ad for your business,350,High,5,Five,574,Huge
76,Writing & Translation,White Papers,"write and design a professional ico, ieo white paper",30,Low,5,Five,1,Low
77,Video & Animation,Article to VideoNew,create video for your blog post and you tube channel using lumen5,5,Very Low,4.9,Four+,43,Low
78,Lifestyle,Online Lessons,create your online course with well researched content,200,Medium,5,Five,15,Low
79,Music & Audio,Vocal Tuning,provide you pitch correction and vocal tuning service,10,Very Low,5,Five,2,Low
80,Video & Animation,Visual Effects,add special or visual effects on video,15,Low,5,Five,291,Huge
81,Lifestyle,Arts & Crafts,design a custom made paper model with your logo on it,5,Very Low,4.8,Four+,12,Low
82,Video & Animation,Book Trailers,do a cinematic book trailer for your fiction book,110,Medium,5,Five,28,Low
83,Programming & Tech,Convert Files,ebook formatting kindle paperback book formatting kdp,10,Very Low,4.9,Four+,1k+,Huge
84,Video & Animation,Logo Animation,make you amazing hollywood intro style,10,Very Low,5,Five,6,Low
85,Writing & Translation,Press Releases,distribute press release on 70 german top news sites,300,High,5,Five,4,Low
86,Lifestyle,Fitness Lessons,give u the ebook fitness and exercise plus 50 articles plus website and license,5,Very Low,5,Five,18,Low
87,Music & Audio,Podcast EditingNew,edit and make your podcast sound great,20,Low,5,Five,1k+,Huge
88,Writing & Translation,Research & Summaries,write communication papers for you,10,Very Low,5,Five,36,Low
89,Programming & Tech,QA,do penetration testing of a website or web applications with detail report,50,Low,5,Five,27,Low
90,Business,Business Consulting,create inventory for amazon fba shipment and shipping plan over 200 limit US UK,40,Low,5,Five,8,Low
91,Video & Animation,Unboxing VideosNew,create you a unboxing stop motion product video,150,Medium,5,Five,14,Low
92,Video & Animation,Book Trailers,create HD book trailer,5,Very Low,5,Five,946,Huge
93,Video & Animation,Product Photography,produce beautiful product photography for your brand,100,Medium,5,Five,49,Low
94,Business,Branding Services,design an entire branding kit for your business,45,Low,5,Five,27,Low
95,Programming & Tech,Web Programming,develop a web app using react js,996,High,4.8,Four+,31,Low
96,Video & Animation,Spokespersons Videos,produce an apple style interview video,50,Low,5,Five,4,Low
97,Video & Animation,Spokespersons Videos,be your costa rican website spokesperson in HD,30,Low,4.8,Four+,18,Low
98,Music & Audio,Voice Over,record and edit french pro voice over,5,Very Low,4.9,Four+,130,Moderate
99,Writing & Translation,Press Releases,write an effective and engaging press release,150,Medium,5,Five,3,Low
100,Lifestyle,Viral Videos,do fun and viral challenges,5,Very Low,5,Five,3,Low
101,Video & Animation,Real Estate Promos,make 8 we buy houses real estate promo videos,15,Low,4.9,Four+,82,Moderate
102,Music & Audio,Producers & Composers,create custom professional orchestral or classical music,10,Very Low,5,Five,63,Moderate
103,Writing & Translation,Resume Writing,"get you your dream job through expert cv, resume writing and linkedin",85,Medium,4.9,Four+,66,Moderate
104,Video & Animation,eLearning Video ProductionNew,create video course for udemy online learning,120,Medium,nul,No Star,nul,No Sale
105,Programming & Tech,Databases,"code sql,plsql,linux,unix bash shell scripts, powershell",5,Very Low,5,Five,1,Low
106,Writing & Translation,Press Releases,write a german press release to boost your PR,65,Medium,5,Five,63,Moderate
107,Video & Animation,Logo Animation,create a custom professional 3d logo animation,275,High,5,Five,507,Huge
108,Writing & Translation,Brand Voice & Tone,"create powerful ad, brand, csr and website copywriting",50,Low,4.9,Four+,20,Low
109,Video & Animation,Real Estate Promos,make a real estate cinematic video commercial,25,Low,4.9,Four+,65,Moderate
110,Programming & Tech,QA,create automation test for your web and mobile app,20,Low,5,Five,4,Low
111,Writing & Translation,Beta Reading,beta read and critique your novel,10,Very Low,5,Five,16,Low
112,Video & Animation,Screencasting Videos,screen record and how to use website or app video,5,Very Low,nul,No Star,nul,No Sale
113,Music & Audio,Producers & Composers,"produce, record and mix your song",250,High,5,Five,191,Huge
114,Writing & Translation,Proofreading & Editing,edit your essay or personal statement,100,Medium,5,Five,7,Low
115,Writing & Translation,Scriptwriting,be your animated explainer video script writer,15,Low,4.9,Four+,1k+,Huge
116,Video & Animation,Game Trailers,make this awesome gaming or movie teaser trailer,5,Very Low,4.9,Four+,128,Moderate
117,Video & Animation,Unboxing VideosNew,create cinematic unboxing video,195,Medium,5,Five,30,Low
118,Music & Audio,Online Music LessonsNew,teach you all about violin,15,Low,5,Five,2,Low
119,Music & Audio,DJ Drops & Tags,"voiceover, mix and master a killer dj drop or intro",10,Very Low,5,Five,20,Low
120,Lifestyle,Craft Lessons,create craft video for you,10,Very Low,nul,No Star,nul,No Sale
121,Writing & Translation,Cover Letters,create a personalized cover letter for you,10,Very Low,nul,No Star,nul,No Sale
122,Music & Audio,Mixing & Mastering,Our studio will professionally mix and master your album,1502,High,5,Five,3,Low
123,Programming & Tech,E-Commerce Development,build you a shopify website for your,90,Medium,nul,No Star,nul,No Sale
124,Programming & Tech,Mobile Apps,"design ui ux  for mobile app, website or landing page",10,Very Low,4.8,Four+,57,Moderate
125,Writing & Translation,Speechwriting,write a speech that will blow your audience away,40,Low,nul,No Star,nul,No Sale
126,Music & Audio,Vocal Tuning,"do voice editing, tuning and mixing by a grad sound engineer",15,Low,4.8,Four+,5,Low
127,Music & Audio,Jingles & Intros,making jingles for radio stations,10,Very Low,5,Five,2,Low
128,Lifestyle,Fitness Lessons,intermittent fasting ebook and videos,5,Very Low,5,Five,1,Low
129,Writing & Translation,Creative Writing,write a bio for your about me page or profile,90,Medium,4.9,Four+,1k+,Huge
130,Lifestyle,Traveling,help you plan a travel itinerary for romania,5,Very Low,5,Five,1,Low
131,Writing & Translation,Press Releases,create a quality SEO press release,40,Low,4.9,Four+,720,Huge
132,Lifestyle,Celebrity Impersonators,record a john travolta impersonation,10,Very Low,5,Five,90,Moderate
133,Music & Audio,SongwritersNew,"be your male singer songwriter with vocals, guitar or piano",100,Medium,5,Five,87,Moderate
134,Video & Animation,Animation for Streamers,"create intro,starting soon, stinger transition animations",50,Low,5,Five,40,Low
135,Video & Animation,Product Photography,shoot lifestyle photography for your ecommerce brand in southern california,195,Medium,5,Five,8,Low
136,Business,Flyer Distribution,distribute 25 flyers in high traffic dc areas,25,Low,4.9,Four+,11,Low
137,Video & Animation,Live Action Explainers,create a step by step video of handmade jewelry,15,Low,5,Five,4,Low
138,Video & Animation,Short Video Ads,"create a product description video, post it to a large social media audience",100,Medium,5,Five,37,Low
139,Music & Audio,Podcast EditingNew,completely setup your podcast,80,Medium,5,Five,12,Low
140,Business,Data Entry,be ready as your virtual assistant to take care of your data as your demands,5,Very Low,5,Five,5,Low
141,Video & Animation,Live Action Explainers,create stunning live action promo video,80,Medium,4.9,Four+,5,Low
142,Lifestyle,Personal StylistsNew,be your fashion counselor,5,Very Low,4.7,Four+,16,Low
143,Business,Lead Generation,cold call hundreds of leads to produce sales and growth,85,Medium,4.9,Four+,50,Low
144,Digital Marketing,Domain Research,search domain name worth more then 1200usd,10,Very Low,5,Five,2,Low
145,Lifestyle,Online Lessons,work out your game theory and microeconomics problems,50,Low,5,Five,6,Low
146,Video & Animation,Lyric & Music Videos,make an amazing music video for your song in 24 hours,10,Very Low,4.9,Four+,290,Huge
147,Video & Animation,Animated GIFs,create 2d animated gifs in my very exclusive style,40,Low,5,Five,73,Moderate
148,Business,Virtual Assistant,"be your amazon virtual assistant, private label, wholesale",15,Low,5,Five,8,Low
149,Programming & Tech,Mobile Apps,create an ecommerce android and ios mobile app,20,Low,5,Five,24,Low
150,Video & Animation,Lyric & Music Videos,create an animated lyric video for your song,300,High,5,Five,1k+,Huge
151,Business,Legal Consulting,provide expert UK visa and immigration advice,65,Medium,nul,No Star,nul,No Sale
152,Business,Flyer Distribution,post your ads on 20 high ranked classified sites with proof,10,Very Low,5,Five,25,Low
153,Video & Animation,App & Website Previews,"create 3d iphone, tablet, and laptop promo videos for apps",30,Low,nul,No Star,nul,No Sale
154,Video & Animation,Real Estate Promos,do real estate video editing in 24 hours,15,Low,5,Five,37,Low
155,Programming & Tech,Game Development,"Our studio will create a full 3d game includes art, design, and marketing",5055,High,nul,No Star,nul,No Sale
156,Writing & Translation,Book EditingNew,edit your dream novel within 24 hours,15,Low,5,Five,9,Low
157,Digital Marketing,Local SEO,map citations with geotagged images no1 local SEO rank,20,Low,5,Five,347,Huge
158,Programming & Tech,Website Builders & CMS,develop a quality hubspot cms template,150,Medium,5,Five,12,Low
159,Writing & Translation,Research & Summaries,provide top quality research and summary on business writing and market research,10,Very Low,5,Five,1,Low
160,Business,Branding Services,craft a value proposition for your product or service,30,Low,5,Five,11,Low
161,Video & Animation,Character Animation,make a short animation,125,Medium,5,Five,1,Low
162,Programming & Tech,Databases,create or modify professional microsoft access database,50,Low,5,Five,8,Low
163,Music & Audio,Music TranscriptionNew,transcribe or arrange to a musical score any music,80,Medium,nul,No Star,nul,No Sale
164,Digital Marketing,Domain Research,suggest amazing business name and seo friendly domain name,5,Very Low,5,Five,2,Low
165,Lifestyle,Collectibles,paint your tabletop and wargame miniatures,10,Very Low,5,Five,7,Low
166,Lifestyle,Gaming,play sea of thieves and help you get to pirate legend,20,Low,5,Five,7,Low
167,Video & Animation,Animation for Kids,create learning videos for kids,10,Very Low,4.8,Four+,31,Low
168,Lifestyle,Relationship Advice,provide advice and strategic life coaching,10,Very Low,5,Five,1,Low
169,Writing & Translation,Brand Voice & Tone,"manage your brand story, mission, vision and about us",20,Low,5,Five,2,Low
170,Music & Audio,DJ Drops & Tags,do professional sounding dj drops saying anything you want,5,Very Low,5,Five,20,Low
171,Writing & Translation,Grant Writing,write great music and arts grant proposals,35,Low,4.2,Four+,6,Low
172,Business,Presentations,coach your next public speaking gig,15,Low,5,Five,12,Low
173,Writing & Translation,Website Content,rewrite and improve content in german,20,Low,5,Five,2,Low
174,Video & Animation,Subtitles & Captions,add graphics and text or caption animation in your video,5,Very Low,5,Five,6,Low
175,Music & Audio,Vocal Tuning,make your vocal recordings shine through,30,Low,nul,No Star,nul,No Sale
176,Music & Audio,Singers & Vocalists,be your pop and edm female vocalist and songwriter,150,Medium,4.9,Four+,112,Moderate
177,Music & Audio,Producers & Composers,produce pop lofi trap beats for you,15,Low,5,Five,14,Low
178,Programming & Tech,User Testing,test your IOS and android games or apps,30,Low,5,Five,1,Low
179,Writing & Translation,Case Studies,do dna and questioned documents and fingerprints examination,10,Very Low,5,Five,2,Low
180,Lifestyle,Traveling,help in india and new delhi,5,Very Low,5,Five,25,Low
181,Lifestyle,Craft Lessons,teach your child how to make a bubble machine,5,Very Low,nul,No Star,nul,No Sale
182,Programming & Tech,E-Commerce Development,make wordpress woocommerce store or shopify store for you,50,Low,5,Five,2,Low
183,Music & Audio,Podcast EditingNew,do podcast editing today,25,Low,5,Five,45,Low
184,Video & Animation,Animation for Kids,"make abc, colors, 123 many more kids 2d videos",10,Very Low,5,Five,6,Low
185,Programming & Tech,Desktop Applications,"develop java, javafx programming and gui projects",5,Very Low,5,Five,9,Low
186,Programming & Tech,Support & IT,help you build and administrate your salesforce,55,Medium,5,Five,2,Low
187,Business,Lead Generation,do cold calling and appointment setting for you,25,Low,4.9,Four+,26,Low
188,Music & Audio,SongwritersNew,write creative lyrics to your music,40,Low,5,Five,1,Low
189,Writing & Translation,Product Descriptions,write an amazon product description that sells plus PPC,100,Medium,5,Five,29,Low
190,Video & Animation,Screencasting Videos,make an excellent screencasting tutorial video for you,10,Very Low,5,Five,2,Low
191,Business,Market Research,do market research on any topic and industry,30,Low,4.8,Four+,36,Low
192,Lifestyle,Viral Videos,do a dance for you,15,Low,4.5,Four+,4,Low
193,Programming & Tech,Web Programming,design and build your professional email signature,110,Medium,4.9,Four+,15,Low
194,Lifestyle,Viral Videos,create a professional dance video for your song,150,Medium,5,Five,18,Low
195,Business,E-Commerce ManagementNew,find private label product that sells hot on amazon fba,60,Medium,5,Five,12,Low
196,Writing & Translation,Product Descriptions,write an excellent SEO amazon product listing description with great copywriting,35,Low,4.9,Four+,351,Huge
197,Writing & Translation,Proofreading & Editing,professionally proofread and edit your novel,200,Medium,5,Five,12,Low
198,Writing & Translation,Proofreading & Editing,professionally copy edit and proofread your fiction and nonfiction books,100,Medium,4.9,Four+,69,Moderate
199,Video & Animation,Animation for Kids,create 2d and 3d animations for children,120,Medium,nul,No Star,nul,No Sale
200,Video & Animation,3D Product Animation,create 3d product modeling and animation,150,Medium,5,Five,72,Moderate
201,Programming & Tech,QA,do advanced pentest on your website with report,25,Low,5,Five,27,Low
202,Video & Animation,Intros & Outros,create your next intro and outro,400,High,5,Five,6,Low
203,Writing & Translation,LinkedIn Profiles,create professional linkedin profile for you or your company,55,Medium,4.9,Four+,188,Huge
204,Music & Audio,Producers & Composers,ghost produce radio ready music for you,135,Medium,5,Five,16,Low
205,Video & Animation,Live Action Explainers,create any food 4k video recipe for you,35,Low,5,Five,147,Moderate
206,Writing & Translation,Cover Letters,create high quality CV or resume in one hour,5,Very Low,4.7,Four+,1,Low
207,Writing & Translation,Business Names & Slogans,"create original, engaging slogans or taglines",15,Low,5,Five,66,Moderate
208,Video & Animation,Logo Animation,create custom 3d grunge and metal logo and intro animation,10,Very Low,5,Five,7,Low
209,Business,Project ManagementNew,"develop any type of credit risk, underwriting, API,  lending platform",90,Medium,5,Five,3,Low
210,Video & Animation,eLearning Video ProductionNew,be online course creator or training video with voice over,35,Low,5,Five,3,Low
211,Business,Branding Services,create ideal buyer persona,95,Medium,5,Five,49,Low
212,Video & Animation,Slideshows Videos,create modern business presentation video intro promo,20,Low,5,Five,132,Moderate
213,Programming & Tech,Convert Files,do kindle ebook book formatting amazon kdp paperback,15,Low,4.9,Four+,646,Huge
214,Video & Animation,eLearning Video ProductionNew,produce your elearning or education video,10,Very Low,nul,No Star,nul,No Sale
215,Programming & Tech,Mobile Apps,be your android app developer or develop your android app,75,Medium,5,Five,79,Moderate
216,Digital Marketing,Mobile Marketing & Advertising,provide you targeted numbers for SMS or whatsapp marketing,20,Low,5,Five,22,Low
217,Writing & Translation,Legal Writing,write the perfect contract for any situation US lawyer,75,Medium,5,Five,3,Low
218,Video & Animation,Local PhotographyBeta,15 sec food advertising video,1101,High,nul,No Star,nul,No Sale
219,Lifestyle,Family & Genealogy,"research your family tree, ancestry and genealogy",5,Very Low,4.9,Four+,105,Moderate
220,Music & Audio,SongwritersNew,"put your lyrics to music, acoustic guitar, singer songwriter",55,Medium,5,Five,1k+,Huge
221,Writing & Translation,Technical Writing,"do ce marking, certificate of compliance and technical files",150,Medium,5,Five,1,Low
222,Music & Audio,Online Music LessonsNew,give professional violin lessons online,5,Very Low,5,Five,11,Low
223,Programming & Tech,E-Commerce Development,upload products to your shopify store,100,Medium,5,Five,28,Low
224,Digital Marketing,Web Traffic,send keyword targeted usa and uk organic traffic with low bounce rate,30,Low,4.9,Four+,31,Low
225,Writing & Translation,Email Copy,write persuasive sales letter and business letter,25,Low,4.7,Four+,48,Low
226,Programming & Tech,QA,"professionally QA test your site, min 25 bugs or refund",65,Medium,5,Five,44,Low
227,Music & Audio,Session Musicians,"track live drums, guitar, and or bass for your song",200,Medium,5,Five,10,Low
228,Video & Animation,Whiteboard & Animated Explainers,Our studio will produce professional custom explainer video,696,High,nul,No Star,nul,No Sale
229,Business,Branding Services,create a complete brand guide for your business or service,80,Medium,5,Five,8,Low
230,Business,Market Research,provide insightful comprehensive market research,100,Medium,4.9,Four+,106,Moderate
231,Writing & Translation,Brand Voice & Tone,identify and pin down your brand voice and tone,100,Medium,4.9,Four+,21,Low
232,Writing & Translation,Speechwriting,"do deep research in spanish, english and chinese",10,Very Low,4.8,Four+,2,Low
233,Programming & Tech,Website Builders & CMS,design a high end wix website for you,701,High,5,Five,12,Low
234,Digital Marketing,Web Traffic,setup google adwords search ads for top ranking,25,Low,5,Five,13,Low
235,Writing & Translation,UX Writing,write email marketing and UX contents for your website and apps,50,Low,nul,No Star,nul,No Sale
236,Programming & Tech,Online Coding LessonsNew,do any matlab c cpp java python programming electrical engineering projects task,20,Low,5,Five,25,Low
237,Video & Animation,Intros & Outros,do custom 3d intros or outro your youtube channel,10,Very Low,4.9,Four+,56,Moderate
238,Lifestyle,Greeting Cards & Videos,do a star studded birthday video ecard,10,Very Low,5,Five,8,Low
239,Music & Audio,SongwritersNew,"ghostwrite a hit hip hop,rap or rnb song for you",50,Low,4.9,Four+,40,Low
240,Programming & Tech,Convert Files,do ebook formatting paperback formatting for amazon kindle,10,Very Low,5,Five,609,Huge
241,Digital Marketing,Influencer Marketing,shoutout you to 700k instagram fashion or music pages,25,Low,4.5,Four+,66,Moderate
242,Video & Animation,Short Video Ads,present your product I am a former national tv host,95,Medium,5,Five,2,Low
243,Video & Animation,Video Editing,do professional video editing for you,35,Low,4.9,Four+,263,Huge
244,Video & Animation,Whiteboard & Animated Explainers,create an awesome whiteboard animation video,150,Medium,5,Five,800,Huge
245,Music & Audio,Audio Ads ProductionNew,voice your radio or TV commercial voice over,40,Low,5,Five,27,Low
246,Video & Animation,Live Action Explainers,create a professional video for your cocktail,35,Low,5,Five,7,Low
247,Video & Animation,Game Trailers,create video trailer for your games or apps,250,High,4.8,Four+,10,Low
248,Digital Marketing,E-Commerce Marketing,do mailchimp sales funnel for your shopify and ecommerce store to boost sale,5,Very Low,4.9,Four+,13,Low
249,Writing & Translation,Technical Writing,do haccp plan consultation and documentation,5,Very Low,4.9,Four+,5,Low
250,Video & Animation,Spokespersons Videos,film a branded office spokesperson video in HD or 4k,45,Low,5,Five,1k+,Huge
251,Video & Animation,Unboxing VideosNew,do unboxing video of your product,5,Very Low,5,Five,1,Low
252,Writing & Translation,Podcast Writing,write an electrifying script for a youtube video or podcast,20,Low,4.9,Four+,41,Low
253,Video & Animation,Character Animation,animate anything you want,15,Low,5,Five,13,Low
254,Programming & Tech,QA,do manual and automation testing,5,Very Low,5,Five,3,Low
255,Music & Audio,Singers & Vocalists,sing your rock and metal songs,100,Medium,5,Five,2,Low
256,Video & Animation,Animated GIFs,"animate your photos, artworks and give them life",50,Low,5,Five,49,Low
257,Programming & Tech,User Testing,test your website and give feedback,5,Very Low,5,Five,2,Low
258,Writing & Translation,Proofreading & Editing,deeply edit up to 2000 words in 2 days,110,Medium,5,Five,149,Moderate
259,Video & Animation,Local PhotographyBeta,photograph your event in new york city,145,Medium,5,Five,4,Low
260,Music & Audio,Jingles & Intros,create your podcast theme song,150,Medium,5,Five,11,Low
261,Video & Animation,Short Video Ads,make a promotional video for your company excellent quality,15,Low,4.9,Four+,246,Huge
262,Programming & Tech,Web Programming,convert psd to responsive html css and bootstrap,15,Low,4.9,Four+,63,Moderate
263,Video & Animation,Spokespersons Videos,create pro spokesperson demo video using your product,200,Medium,5,Five,98,Moderate
264,Business,Project ManagementNew,do your project management task,30,Low,4.9,Four+,11,Low
265,Writing & Translation,Translation,"translate, proofread, edit from english to japanese",5,Very Low,4.9,Four+,144,Moderate
266,Programming & Tech,User Testing,audit your ecommerce site or app and suggest UX improvements,25,Low,5,Five,1,Low
267,Programming & Tech,Development for StreamersNew,"setup your software for streaming obs, slobs, xsplit",10,Very Low,5,Five,19,Low
268,Business,Business Plans,give you the best forex trading system,235,High,nul,No Star,nul,No Sale
269,Business,Business Consulting,"do business valuation, stock recommendations and equity research",100,Medium,5,Five,11,Low
270,Lifestyle,Your Message On...,send your message to space,10,Very Low,4.9,Four+,25,Low
271,Video & Animation,Slideshows Videos,create a promotional photo or video slideshow,15,Low,5,Five,4,Low
272,Business,Branding Services,submit ingenious business brand name domain with logo design,30,Low,4.8,Four+,12,Low
273,Business,Business Plans,"do professional business plan, business plan for startups",10,Very Low,5,Five,8,Low
274,Writing & Translation,Translation,translate spanish to german,5,Very Low,5,Five,6,Low
275,Video & Animation,Slideshows Videos,create a video from your power point or PDF,5,Very Low,4.3,Four+,6,Low
276,Music & Audio,Singers & Vocalists,record vocals for your music,80,Medium,5,Five,6,Low
277,Programming & Tech,Convert Files,manually convert your 300 page document to kindle format and formatting,10,Very Low,5,Five,1k+,Huge
278,Lifestyle,Family & Genealogy,obtain certified italian genealogy records,50,Low,5,Five,3,Low
279,Lifestyle,Family & Genealogy,do genealogy research of your ancestors,40,Low,5,Five,8,Low
280,Programming & Tech,Web Programming,do web designing and development with laravel,50,Low,5,Five,25,Low
281,Writing & Translation,Online Language LessonsNew,be your english tutor for a lesson via skype,5,Very Low,5,Five,7,Low
282,Digital Marketing,Music Promotion,promote your music professionally,100,Medium,4.9,Four+,100,Moderate
