"","Loss","ALAE","Limit","Censored"
"150",1500,8228,5e+05,0
"151",1500,10018,5e+05,0
"152",1500,11994,1e+06,0
"153",1500,17146,3e+05,0
"154",1522,1614,25000,0
"155",1545,415,NA,0
"156",1600,3537,1e+06,0
"157",1633,2585,NA,0
"158",1658,337,1e+05,0
"159",1666,261,3e+05,0
"160",1666,12323,1e+06,0
"161",1667,526,5e+05,0
"162",1667,2413,1e+06,0
"163",1701,12426,3e+05,0
"164",1750,150,3e+05,0
"165",1750,198,NA,0
"166",1750,947,1e+06,0
"167",1750,1930,5e+05,0
"168",1800,776,3e+05,0
"169",1800,1791,3e+05,0
"170",1800,2825,1e+06,0
"171",1800,4644,5e+05,0
"172",1800,7829,NA,0
"173",1892,1185,5000,0
"174",1913,1578,1e+06,0
"175",1937,293,1e+05,0
"176",1947,10564,3e+05,0
"177",1974,775,750000,0
"178",1980,2706,5e+05,0
"179",1993,1946,1e+06,0
"180",1994,4851,1e+06,0
"181",2000,584,5e+05,0
"182",2000,700,5e+05,0
"183",2000,978,3e+05,0
"184",2000,999,250000,0
"185",2000,1190,5e+05,0
"186",2000,1395,5e+05,0
"187",2000,1699,5000,0
"188",2000,1968,5e+05,0
"189",2000,1989,5e+05,0
"190",2000,2453,5e+05,0
"191",2000,2503,5e+05,0
"192",2000,2644,5e+05,0
"193",2000,2748,5e+05,0
"194",2000,3089,1e+06,0
"195",2000,3119,50000,0
"196",2000,3496,50000,0
"197",2000,3597,3e+05,0
"198",2000,4505,5e+05,0
"199",2000,4756,5e+05,0
"200",2000,5392,5e+05,0
"201",2000,5439,1e+06,0
"202",2000,5491,5e+05,0
"203",2000,5767,3e+05,0
"204",2000,5963,5e+05,0
"205",2000,6033,1e+06,0
"206",2000,6858,3e+05,0
"207",2000,6995,5e+05,0
"208",2000,7488,5e+05,0
"209",2000,8401,1e+06,0
"210",2000,8650,5e+05,0
"211",2000,9393,NA,0
"212",2000,17222,5e+05,0
"213",2002,5971,1e+05,0
"214",2018,1322,1e+06,0
"215",2022,610,5e+05,0
"216",2057,11305,5e+05,0
"217",2067,5697,1e+05,0
"218",2070,6201,3e+05,0
"219",2100,302,5e+05,0
"220",2125,2387,1e+05,0
"221",2180,9584,250000,0
"222",2250,2182,5e+05,0
"223",2250,8204,1e+06,0
"224",2250,14528,3e+05,0
"225",2303,803,1e+05,0
"226",2312,19407,5e+05,0
"227",2325,5728,1e+06,0
"228",2400,620,1e+05,0
"229",2405,960,3e+05,0
"230",2428,6657,5e+05,0
"231",2486,5417,50000,0
"232",2500,50,NA,0
"233",2500,115,1e+06,0
"234",2500,145,3e+05,0
"235",2500,184,1e+06,0
"236",2500,415,NA,0
"237",2500,540,1e+06,0
"238",2500,544,NA,0
"239",2500,656,5e+05,0
"240",2500,852,1e+06,0
"241",2500,895,5e+05,0
"242",2500,1053,5e+05,0
"243",2500,1059,250000,0
"244",2500,1123,5e+05,0
"245",2500,1150,3e+05,0
"246",2500,1862,1e+06,0
"247",2500,1992,5e+05,0
"248",2500,2263,NA,0
"249",2500,2268,5e+05,0
"250",2500,2325,3e+05,0
"251",2500,2439,NA,0
"252",2500,2462,3e+05,0
"253",2500,2874,NA,0
"254",2500,2939,10000,0
"255",2500,3352,1e+06,0
"256",2500,3411,1e+06,0
"257",2500,3583,1e+05,0
"258",2500,4248,3e+05,0
"259",2500,4263,5e+05,0
"260",2500,4451,3e+05,0
"261",2500,4669,5e+05,0
"262",2500,4729,3e+05,0
"263",2500,4805,5e+05,0
"264",2500,4950,5e+05,0
"265",2500,5000,5e+05,0
"266",2500,5063,1e+06,0
"267",2500,5075,1e+06,0
"268",2500,5321,3e+05,0
"269",2500,5385,5e+05,0
"270",2500,5453,5e+05,0
"271",2500,5678,5e+05,0
"272",2500,5740,5e+05,0
"273",2500,5758,NA,0
"274",2500,6027,5e+05,0
"275",2500,6209,5e+05,0
"276",2500,6763,5e+05,0
"277",2500,7000,1e+06,0
"278",2500,7362,5e+05,0
"279",2500,7369,5e+05,0
"280",2500,7421,5e+05,0
"281",2500,7467,5e+05,0
"282",2500,8083,25000,0
"283",2500,8185,NA,0
"284",2500,8813,5e+05,0
"285",2500,9073,250000,0
"286",2500,9652,5e+05,0
"287",2500,12580,3e+05,0
"288",2500,12644,1e+05,0
"289",2500,14842,5e+05,0
"290",2600,824,5e+05,0
"291",2600,2168,5e+05,0
"292",2600,4914,5e+05,0
"293",2700,1109,5e+05,0
"294",2700,3531,5e+05,0
"295",2730,112158,5e+05,0
"296",2749,2506,1e+06,0
"297",2750,1491,1e+06,0
"298",2750,4540,5e+05,0
"299",2776,4054,5e+05,0
"300",2787,2603,3e+05,0
"301",2850,5120,250000,0
"302",2917,1715,5e+05,0
"303",2922,7802,5e+05,0
"304",3000,190,5e+05,0
"305",3000,420,3e+05,0
"306",3000,749,1e+05,0
"307",3000,1301,5e+05,0
"308",3000,1495,3e+05,0
"309",3000,1594,NA,0
"310",3000,1618,5e+05,0
"311",3000,1693,5e+05,0
"312",3000,1899,5e+05,0
"313",3000,1952,1e+06,0
"314",3000,2103,1e+05,0
"315",3000,2237,5e+05,0
"316",3000,2534,3e+05,0
"317",3000,2949,5e+05,0
"318",3000,3007,3e+05,0
"319",3000,3154,5e+05,0
"320",3000,3318,5e+05,0
"321",3000,3365,3e+05,0
"322",3000,5831,5e+05,0
"323",3000,7176,1e+06,0
"324",3000,8420,5e+05,0
"325",3000,10330,5e+05,0
"326",3000,11561,5e+05,0
"327",3000,11861,1e+06,0
"328",3000,12545,3e+05,0
"329",3000,14485,5e+05,0
"330",3000,18206,1e+06,0
"331",3000,32390,1e+05,0
"332",3162,339,3e+05,0
"333",3250,35,3e+05,0
"334",3250,10279,5e+05,0
"335",3269,7081,1e+06,0
"336",3300,690,3e+05,0
"337",3300,3020,5e+05,0
"338",3333,9251,3e+05,0
"339",3400,495,3e+05,0
"340",3409,1974,1e+05,0
"341",3436,12072,3e+05,0
"342",3480,15953,5e+05,0
"343",3486,5374,5e+05,0
"344",3494,7423,5e+05,0
"345",3500,378,3e+05,0
"346",3500,565,1e+06,0
"347",3500,784,5e+05,0
"348",3500,787,5e+05,0
"349",3500,980,25000,0
"350",3500,2531,5e+05,0
"351",3500,2691,5e+05,0
"352",3500,3395,1e+06,0
"353",3500,3641,1e+06,0
"354",3500,5079,250000,0
"355",3500,5381,1e+05,0
"356",3500,7615,5e+05,0
"357",3500,7936,NA,0
"358",3500,11240,3e+05,0
"359",3500,25176,1e+06,0
"360",3600,3063,1e+06,0
"361",3685,1716,5e+05,0
"362",3750,670,NA,0
"363",3750,1369,5e+05,0
"364",3750,1536,3e+05,0
"365",3750,3153,5e+05,0
"366",3750,3556,5e+05,0
"367",3750,3637,1e+06,0
"368",3750,4224,3e+05,0
"369",3750,9951,3e+05,0
"370",3903,14319,1e+06,0
"371",3941,3689,5e+05,0
"372",4000,50,NA,0
"373",4000,88,1e+06,0
"374",4000,298,3e+05,0
"375",4000,355,1e+06,0
"376",4000,1390,1e+05,0
"377",4000,1756,50000,0
"378",4000,1773,3e+05,0
"379",4000,2411,5e+05,0
"380",4000,2914,3e+05,0
"381",4000,3370,5e+05,0
"382",4000,3499,1e+06,0
"383",4000,3640,5e+05,0
"384",4000,3971,5e+05,0
"385",4000,4439,3e+05,0
"386",4000,4898,1e+06,0
"387",4000,20142,1e+06,0
"388",4038,5687,5e+05,0
"389",4250,2008,5e+05,0
"390",4250,2115,5e+05,0
"391",4286,6522,5e+05,0
"392",4346,18656,1e+05,0
"393",4350,1786,5e+05,0
"394",4465,1534,5e+05,0
"395",4500,392,5e+05,0
"396",4500,395,NA,0
"397",4500,2316,25000,0
"398",4500,2406,3e+05,0
"399",4500,3046,5e+05,0
"400",4500,3358,1e+06,0
"401",4500,4420,5e+05,0
"402",4500,7669,1e+06,0
"403",4535,1542,1e+06,0
"404",4568,6180,5e+05,0
"405",4600,6004,5e+05,0
"406",4675,2588,1e+06,0
"407",4700,5586,5e+05,0
"408",4750,2894,3e+05,0
"409",4750,5293,5e+05,0
"410",4750,32362,1e+06,0
"411",4833,5588,5e+05,0
"412",5000,25,NA,0
"413",5000,135,NA,0
"414",5000,137,3e+05,0
"415",5000,150,NA,0
"416",5000,187,5e+05,0
"417",5000,310,1e+06,0
"418",5000,333,NA,0
"419",5000,492,5e+06,0
"420",5000,571,1e+05,0
"421",5000,622,5e+05,0
"422",5000,627,NA,0
"423",5000,704,5e+05,0
"424",5000,721,NA,0
"425",5000,830,5000,1
"426",5000,1000,5e+05,0
"427",5000,1162,5e+05,0
"428",5000,1242,4e+05,0
"429",5000,1316,5e+05,0
"430",5000,1398,5e+05,0
"431",5000,1764,1e+05,0
"432",5000,1764,5e+05,0
"433",5000,1849,250000,0
"434",5000,1920,5e+05,0
"435",5000,1965,3e+05,0
"436",5000,2140,3e+05,0
"437",5000,2331,NA,0
"438",5000,2391,5e+05,0
"439",5000,2646,1e+06,0
"440",5000,2932,5e+05,0
"441",5000,3289,5e+05,0
"442",5000,3427,5000,1
"443",5000,3604,1e+06,0
"444",5000,3617,NA,0
"445",5000,4155,1e+06,0
"446",5000,4158,1e+06,0
"447",5000,4336,40000,0
"448",5000,4445,1e+06,0
"449",5000,4618,5e+05,0
"450",5000,4696,3e+05,0
"451",5000,4756,NA,0
"452",5000,4885,250000,0
"453",5000,4964,5e+05,0
"454",5000,5012,5e+05,0
"455",5000,5235,1e+06,0
"456",5000,5614,50000,0
"457",5000,5615,3e+05,0
"458",5000,5747,3e+05,0
"459",5000,6226,1e+05,0
"460",5000,6292,5e+05,0
"461",5000,6719,1e+06,0
"462",5000,6843,5e+05,0
"463",5000,7009,NA,0
"464",5000,7009,NA,0
"465",5000,7044,NA,0
"466",5000,7204,NA,0
"467",5000,7279,5e+05,0
"468",5000,7381,5e+05,0
"469",5000,8085,3e+05,0
"470",5000,8102,3e+05,0
"471",5000,8541,2500000,0
"472",5000,8758,250000,0
"473",5000,8897,5e+05,0
"474",5000,8909,3e+05,0
"475",5000,9858,5e+05,0
"476",5000,12812,3e+05,0
"477",5000,13165,3e+05,0
"478",5000,13576,5e+05,0
"479",5000,14683,NA,0
"480",5000,16014,3e+05,0
"481",5000,16099,1e+06,0
"482",5000,25477,25000,0
"483",5000,37264,5e+05,0
"484",5003,5093,5e+05,0
"485",5010,6101,1e+05,0
"486",5097,9437,5e+05,0
"487",5115,20383,1e+06,0
"488",5250,4293,3e+05,0
"489",5390,44666,NA,0
"490",5400,9318,50000,0
"491",5500,101,5e+05,0
"492",5500,1293,1e+06,0
"493",5500,1309,5e+05,0
"494",5500,1905,5e+05,0
"495",5500,2874,3e+05,0
"496",5500,3412,5e+05,0
"497",5500,3833,5e+05,0
"498",5500,7459,5e+05,0
"499",5500,10344,5e+05,0
"500",5577,7001,5e+05,0
"501",5600,4346,5e+05,0
"502",5600,6387,1e+06,0
"503",5619,2798,5e+05,0
"504",5625,5571,1e+06,0
"505",5625,29211,1e+06,0
"506",5655,974,5e+05,0
"507",5750,7897,5e+05,0
"508",5750,34474,NA,0
"509",6000,492,5e+05,0
"510",6000,904,NA,0
"511",6000,1307,NA,0
"512",6000,2101,1e+06,0
"513",6000,2754,5e+05,0
"514",6000,3719,25000,0
"515",6000,4389,50000,0
"516",6000,5823,5e+05,0
"517",6000,7106,5e+05,0
"518",6000,7313,5e+05,0
"519",6000,7322,1e+06,0
"520",6000,8520,3e+05,0
"521",6000,10136,5e+05,0
"522",6000,11741,5e+05,0
"523",6000,12383,5e+05,0
"524",6000,149962,1e+06,0
"525",6066,1523,5e+05,0
"526",6075,6244,1e+06,0
"527",6240,6765,5e+05,0
"528",6403,5111,50000,0
"529",6406,274,1e+06,0
"530",6441,9084,1e+05,0
"531",6500,185,NA,0
"532",6500,895,3e+05,0
"533",6500,1194,NA,0
"534",6500,1789,5e+05,0
"535",6500,3698,3e+05,0
"536",6500,4914,5e+05,0
"537",6500,8154,1e+06,0
"538",6500,17397,5e+05,0
"539",6538,12277,5e+05,0
"540",6550,3295,3e+05,0
"541",6666,9046,1e+06,0
"542",6719,18254,NA,0
"543",6750,518,5e+05,0
"544",6750,2524,1e+06,0
"545",6750,3919,5e+05,0
"546",6907,2383,250000,0
"547",7000,50,NA,0
"548",7000,1900,1e+06,0
"549",7000,3431,3e+05,0
"550",7000,3451,1e+06,0
"551",7000,3944,1e+06,0
"552",7000,10593,NA,0
"553",7000,12909,3e+05,0
"554",7000,15780,5e+05,0
"555",7000,16246,5e+05,0
"556",7500,150,NA,0
"557",7500,266,NA,0
"558",7500,332,5e+05,0
"559",7500,500,NA,0
"560",7500,508,5e+05,0
"561",7500,562,5e+05,0
"562",7500,695,25000,0
"563",7500,754,5e+05,0
"564",7500,1351,5e+05,0
"565",7500,1449,5e+05,0
"566",7500,1557,1e+06,0
"567",7500,2615,5e+05,0
"568",7500,2873,3e+05,0
"569",7500,3285,1e+06,0
"570",7500,3775,NA,0
"571",7500,3986,1e+06,0
"572",7500,4057,5e+05,0
"573",7500,4738,5e+05,0
"574",7500,4949,1e+06,0
"575",7500,5006,5e+05,0
"576",7500,5244,5e+05,0
"577",7500,5457,1e+06,0
"578",7500,5732,3e+05,0
"579",7500,7064,250000,0
"580",7500,7083,3e+05,0
"581",7500,7318,1e+06,0
"582",7500,7340,5e+05,0
"583",7500,7624,5e+05,0
"584",7500,7894,1e+06,0
"585",7500,7904,3e+05,0
"586",7500,8711,5e+05,0
"587",7500,11488,5e+05,0
"588",7500,11724,1e+06,0
"589",7500,11949,NA,0
"590",7500,13281,NA,0
"591",7500,13342,5e+05,0
"592",7500,13620,5e+05,0
"593",7500,15771,5e+05,0
"594",7500,17213,1e+06,0
"595",7500,17595,1e+06,0
"596",7500,28311,1e+06,0
"597",7500,65020,5e+05,0
"598",7525,1687,5e+05,0
"599",7625,13517,1e+06,0
"600",7820,2763,5e+05,0
"601",7857,479,1e+06,0
"602",7875,54266,1e+06,0
"603",7961,18113,1e+05,0
"604",8000,1942,NA,0
"605",8000,2099,NA,0
"606",8000,2335,5e+05,0
"607",8000,2901,5e+05,0
"608",8000,2929,5e+05,0
"609",8000,9671,3e+05,0
"610",8000,12167,5e+05,0
"611",8000,13251,5e+05,0
"612",8036,1450,3e+05,0
"613",8223,23351,50000,0
"614",8250,1521,1e+06,0
"615",8330,5890,NA,0
"616",8333,3379,5e+05,0
"617",8333,5116,1e+06,0
"618",8333,9486,5e+05,0
"619",8333,31367,1e+06,0
"620",8366,5726,3e+05,0
"621",8500,1060,NA,0
"622",8500,1781,3e+05,0
"623",8500,2791,NA,0
"624",8500,3484,NA,0
"625",8500,3869,1e+05,0
"626",8500,5403,5e+05,0
"627",8500,8721,1e+05,0
"628",8500,15780,5e+05,0
"629",8520,4189,1e+05,0
"630",8555,15987,3e+05,0
"631",8640,1146,5e+05,0
"632",8703,11546,3e+05,0
"633",8750,2682,NA,0
"634",8827,3329,1e+06,0
"635",8939,16252,1e+06,0
"636",9000,406,NA,0
"637",9000,1694,5e+05,0
"638",9000,2337,250000,0
"639",9000,2378,1e+06,0
"640",9000,2517,5e+05,0
"641",9000,4602,3e+05,0
"642",9000,7823,250000,0
"643",9000,11761,3e+05,0
"644",9000,16732,1e+06,0
"645",9093,7998,3e+05,0
"646",9250,28,NA,0
"647",9250,6238,5e+05,0
"648",9250,23557,1e+05,0
"649",9427,1978,1e+05,0
"650",9500,1966,5e+05,0
"651",9500,2995,3e+05,0
"652",9500,3593,1e+06,0
"653",9500,11243,5e+05,0
"654",10000,169,NA,0
"655",10000,255,5e+05,0
"656",10000,258,5e+05,0
"657",10000,386,1e+06,0
"658",10000,470,1e+06,0
"659",10000,699,1e+06,0
"660",10000,927,1e+06,0
"661",10000,1174,NA,0
"662",10000,1561,5e+05,0
"663",10000,1573,1500000,0
"664",10000,1656,5e+05,0
"665",10000,1779,5e+05,0
"666",10000,1787,1e+06,0
"667",10000,1790,3e+05,0
"668",10000,1844,3e+05,0
"669",10000,2049,5e+05,0
"670",10000,2129,5e+05,0
"671",10000,2223,3e+05,0
"672",10000,2748,1e+06,0
"673",10000,2907,5e+05,0
"674",10000,2976,5e+05,0
"675",10000,3526,1e+06,0
"676",10000,3628,3e+05,0
"677",10000,3667,NA,0
"678",10000,4007,NA,0
"679",10000,4348,NA,0
"680",10000,4421,5e+05,0
"681",10000,4493,1e+06,0
"682",10000,5111,5e+05,0
"683",10000,5192,5e+05,0
"684",10000,5247,1e+06,0
"685",10000,5560,3e+05,0
"686",10000,5650,5e+05,0
"687",10000,6422,5e+05,0
"688",10000,6476,5e+05,0
"689",10000,7498,5e+05,0
"690",10000,7700,NA,0
"691",10000,7909,1e+06,0
"692",10000,8226,1e+05,0
"693",10000,8293,5e+05,0
"694",10000,8623,5e+05,0
"695",10000,9802,3e+05,0
"696",10000,9854,5e+05,0
"697",10000,9875,5e+05,0
"698",10000,10623,3e+05,0
"699",10000,10826,50000,0
"700",10000,10829,1e+06,0
"701",10000,11065,5e+05,0
"702",10000,11257,NA,0
"703",10000,11410,250000,0
"704",10000,11499,5e+05,0
"705",10000,11563,1e+06,0
"706",10000,11793,1e+06,0
"707",10000,11989,NA,0
"708",10000,12089,3e+05,0
"709",10000,16301,5e+05,0
"710",10000,16663,1e+06,0
"711",10000,17053,NA,0
"712",10000,18587,5e+05,0
"713",10000,19425,1e+06,0
"714",10000,23461,5e+05,0
"715",10000,25133,250000,0
"716",10000,25305,5e+05,0
"717",10000,28942,5e+05,0
"718",10000,32239,3e+05,0
"719",10000,36245,NA,0
"720",10000,96952,1e+06,0
"721",10081,1303,NA,0
"722",10199,1578,1e+05,0
"723",10250,16928,3e+05,0
"724",10250,29077,50000,0
"725",10899,4680,5e+05,0
"726",11000,809,1e+05,0
"727",11000,1532,3e+05,0
"728",11000,2924,1e+06,0
"729",11000,3576,5e+05,0
"730",11000,3970,25000,0
"731",11000,4372,1e+05,0
"732",11000,4514,5e+05,0
"733",11000,4707,1e+05,0
"734",11000,9117,5e+05,0
"735",11000,23362,3e+05,0
"736",11097,14580,5e+05,0
"737",11120,4619,3e+05,0
"738",11280,14353,1e+06,0
"739",11425,16664,250000,0
"740",11500,1076,1e+06,0
"741",11667,6845,1e+06,0
"742",11723,1316,3e+05,0
"743",11750,853,NA,0
"744",11920,2869,1e+06,0
"745",12000,202,NA,0
"746",12000,1200,1e+05,0
"747",12000,1580,1e+05,0
"748",12000,2347,NA,0
"749",12000,2521,5e+05,0
"750",12000,2748,NA,0
"751",12000,4523,1e+06,0
"752",12000,9014,1e+05,0
"753",12100,16320,5e+05,0
"754",12500,165,NA,0
"755",12500,325,NA,0
"756",12500,552,1e+06,0
"757",12500,673,5e+05,0
"758",12500,935,1e+05,0
"759",12500,2530,5e+05,0
"760",12500,4608,3e+05,0
"761",12500,4932,250000,0
"762",12500,6160,5e+05,0
"763",12500,6234,150000,0
"764",12500,6309,3e+05,0
"765",12500,8375,5e+05,0
"766",12500,10371,1e+06,0
"767",12500,10496,5e+05,0
"768",12500,11897,5e+05,0
"769",12500,12297,1e+05,0
"770",12500,13842,5e+05,0
"771",12500,14220,1e+05,0
"772",12500,14266,5e+05,0
"773",12500,14674,3e+05,0
"774",12566,3270,1e+06,0
"775",12608,2100,1e+06,0
"776",12800,4417,1e+06,0
"777",12821,47257,1e+06,0
"778",12830,26,1e+06,0
"779",12875,6721,5e+05,0
"780",12875,7815,5e+05,0
"781",13000,26993,5e+05,0
"782",13000,28847,1e+06,0
"783",13242,8814,1e+06,0
"784",13333,6667,1e+06,0
"785",13450,2368,1e+06,0
"786",13500,111,1e+05,0
"787",13500,700,5e+05,0
"788",13500,6096,5e+05,0
"789",13500,15302,50000,0
"790",13750,4295,1e+06,0
"791",13750,15352,3e+05,0
"792",13825,3208,1e+06,0
"793",14000,687,5e+05,0
"794",14000,2201,3e+05,0
"795",14000,3947,3e+05,0
"796",14000,8369,NA,0
"797",14000,10969,1e+06,0
"798",14500,625,NA,0
"799",14500,3072,1e+06,0
"800",14598,3077,5e+05,0
"801",14721,3959,250000,0
"802",14750,28217,NA,0
"803",14875,263,3e+05,0
"804",14983,4977,5e+05,0
"805",15000,24,5e+05,0
"806",15000,168,1e+06,0
"807",15000,480,1e+06,0
"808",15000,1103,5e+05,0
"809",15000,1830,5e+05,0
"810",15000,2007,3e+05,0
"811",15000,2072,NA,0
"812",15000,2191,NA,0
"813",15000,2194,1e+06,0
"814",15000,2475,5e+05,0
"815",15000,2561,NA,0
"816",15000,2643,5e+05,0
"817",15000,2977,250000,0
"818",15000,3003,5e+05,0
"819",15000,3036,3e+05,0
"820",15000,3183,1e+06,0
"821",15000,3324,3e+05,0
"822",15000,3429,1e+06,0
"823",15000,3525,1e+05,0
"824",15000,3598,1e+06,0
"825",15000,3689,5e+05,0
"826",15000,4012,NA,0
"827",15000,4541,1e+06,0
"828",15000,4587,3e+05,0
"829",15000,5000,3e+05,0
"830",15000,5009,5e+05,0
"831",15000,5110,1e+06,0
"832",15000,5531,5e+05,0
"833",15000,6134,5e+05,0
"834",15000,6326,1e+06,0
"835",15000,6766,1e+06,0
"836",15000,6890,1e+06,0
"837",15000,7196,1e+06,0
"838",15000,7231,3e+05,0
"839",15000,7288,5e+05,0
"840",15000,7415,3e+05,0
"841",15000,7904,5e+05,0
"842",15000,8060,3e+05,0
"843",15000,8634,5e+05,0
"844",15000,9151,5e+05,0
"845",15000,9357,5e+05,0
"846",15000,13499,1e+05,0
"847",15000,14727,5e+05,0
"848",15000,15604,3e+05,0
"849",15000,20615,1e+06,0
"850",15000,26482,5e+05,0
"851",15000,58507,1e+06,0
"852",15000,59884,1e+05,0
"853",15000,129435,1e+06,0
"854",15001,5174,3e+05,0
"855",15069,1403,3e+05,0
"856",15078,16698,5e+05,0
"857",15086,489,5e+05,0
"858",15285,7635,1e+05,0
"859",15500,1319,5e+05,0
"860",15500,2950,1e+05,0
"861",15500,3886,1e+05,0
"862",15552,6290,5e+05,0
"863",15643,13866,1e+06,0
"864",15833,2422,1e+06,0
"865",16000,4906,5e+05,0
"866",16153,3717,3e+05,0
"867",16486,6490,1e+06,0
"868",16500,1117,50000,0
"869",16500,2791,1e+05,0
"870",16500,4104,5e+05,0
"871",16500,5144,5e+05,0
"872",16500,6657,NA,0
"873",16500,8763,5e+05,0
"874",16500,15819,1e+06,0
"875",16666,12105,5e+05,0
"876",16667,971,5e+05,0
"877",16667,2333,5e+05,0
"878",16667,5643,250000,0
"879",17258,25859,NA,0
"880",17327,8706,5e+05,0
"881",17350,16096,5e+05,0
"882",17500,2226,3e+05,0
"883",17500,2520,3e+05,0
"884",17500,3000,5e+05,0
"885",17500,5936,1e+06,0
"886",17500,7525,NA,0
"887",17500,11575,5e+05,0
"888",17500,16137,5e+05,0
"889",17500,21740,250000,0
"890",17500,23586,5e+05,0
"891",17770,3032,3e+05,0
"892",18000,358,5e+05,0
"893",18000,708,NA,0
"894",18000,3100,1e+06,0
"895",18000,3419,5e+05,0
"896",18000,8242,1e+06,0
"897",18000,8775,5e+05,0
"898",18136,11034,1e+06,0
"899",18175,312,3e+05,0
"900",18333,9440,5e+05,0
"901",18358,8724,1e+05,0
"902",18444,20203,5e+05,0
"903",18500,504,5e+05,0
"904",18500,4015,5e+05,0
"905",18500,11070,5e+05,0
"906",18500,12138,50000,0
