date,average_price,total_volume,type,region
2018-05-24,1.18,908661.83,A,BaltimoreWashington
2018-05-17,1.27,790853.86,A,BaltimoreWashington
2018-05-10,1.26,855205.82,A,BaltimoreWashington
2018-05-03,1.17,896972.05,A,BaltimoreWashington
2018-04-26,1.29,747841.09,A,BaltimoreWashington
2018-04-19,1.28,762862.62,A,BaltimoreWashington
2018-04-12,1.15,837629.62,A,BaltimoreWashington
2018-04-05,1.29,688065.45,A,BaltimoreWashington
2018-03-29,1.25,663677.32,A,BaltimoreWashington
2018-03-22,1.1,808897.21,A,BaltimoreWashington
2018-03-15,1.24,693698.13,A,BaltimoreWashington
2018-03-08,1.26,657745.9,A,BaltimoreWashington
2018-03-01,1.16,770115.24,A,BaltimoreWashington
2018-02-22,1.11,749845.79,A,BaltimoreWashington
2018-02-15,1.25,637319.34,A,BaltimoreWashington
2018-02-08,1.09,844931.21,A,BaltimoreWashington
2018-02-01,1.06,1007418.76,A,BaltimoreWashington
2018-01-25,1.2,692934.46,A,BaltimoreWashington
2018-01-18,1.23,657741.34,A,BaltimoreWashington
2018-01-11,1.17,670231.94,A,BaltimoreWashington
2018-01-04,1.08,788025.06,A,BaltimoreWashington
2018-12-27,0.97,62909.69,A,Boise
2018-12-20,1.03,57504.05,A,Boise
2018-12-13,0.99,58461.05,A,Boise
2018-12-06,0.71,95295.34,A,Boise
2018-11-29,1.06,49069.13,A,Boise
2018-11-22,1.09,52875.58,A,Boise
2018-11-15,1.01,68648.22,A,Boise
2018-11-08,1.11,55847.79,A,Boise
2018-11-01,1.14,53585.51,A,Boise
2018-10-25,1.11,59874.45,A,Boise
2018-10-18,1.16,54191.14,A,Boise
2018-10-11,0.94,80904.19,A,Boise
2018-10-04,1.12,59496.33,A,Boise
2018-09-27,0.99,64187.8,A,Boise
2018-09-20,1.03,73952.9,A,Boise
2018-09-13,1.08,64208.84,A,Boise
2018-09-06,1.16,64464.61,A,Boise
2018-08-30,1.19,60099.83,A,Boise
2018-08-23,1.05,70773.76,A,Boise
2018-08-16,1.12,64001.61,A,Boise
2018-08-09,1.1,61286.98,A,Boise
2018-08-02,1.07,67763.91,A,Boise
2018-07-26,1.07,67826.07,A,Boise
2018-07-19,1.09,63958.04,A,Boise
2018-07-12,1.05,74677.72,A,Boise
2018-07-05,1.15,85044.45,A,Boise
2018-06-28,1.04,75280.41,A,Boise
2018-06-21,1.06,81397.07,A,Boise
2018-06-14,0.99,87607.71,A,Boise
2018-06-07,1.12,80751.29,A,Boise
2018-05-31,0.97,76689.38,A,Boise
2018-05-24,1.03,83209.77,A,Boise
2018-05-17,0.96,77987.53,A,Boise
2018-05-10,1.06,95788.53,A,Boise
2018-05-03,1,85466.99,A,Boise
2018-04-26,0.96,88111.17,A,Boise
2018-04-19,0.99,89694.96,A,Boise
2018-04-12,1.19,66246.3,A,Boise
2018-04-05,1.09,76704.46,A,Boise
2018-03-29,0.98,74543.98,A,Boise
2018-03-22,1.17,61419.11,A,Boise
2018-03-15,1,65918.28,A,Boise
2018-03-08,1.14,65350.24,A,Boise
2018-03-01,1.06,75046.37,A,Boise
2018-02-22,0.99,76836.1,A,Boise
2018-02-15,1.14,61221.98,A,Boise
2018-02-08,1.07,69970.75,A,Boise
2018-02-01,0.91,113578.24,A,Boise
2018-01-25,1.03,66069.21,A,Boise
2018-01-18,1.08,62870.49,A,Boise
2018-01-11,1.18,57355.52,A,Boise
2018-01-04,1.01,80034.32,A,Boise
2018-12-27,1.13,450816.39,A,Boston
2018-12-20,1.07,489802.88,A,Boston
2018-12-13,1.01,549945.76,A,Boston
2018-12-06,1.02,488679.31,A,Boston
2018-11-29,1.19,350559.81,A,Boston
2018-11-22,1.07,466759.99,A,Boston
2018-11-15,1.05,513738.98,A,Boston
2018-11-08,1.04,641759.57,A,Boston
2018-11-01,1.06,553096.84,A,Boston
2018-10-25,1.02,534249.47,A,Boston
2018-10-18,0.94,725296.29,A,Boston
2018-10-11,1.14,485706.68,A,Boston
2018-10-04,1.07,536479.42,A,Boston
2018-09-27,1.07,553307.04,A,Boston
2018-09-20,1.15,498640.23,A,Boston
2018-09-13,1.03,655682.95,A,Boston
2018-09-06,1.11,577774.74,A,Boston
2018-08-30,1.13,526664.87,A,Boston
2018-08-23,1.07,589471.32,A,Boston
2018-08-16,1.15,565795.06,A,Boston
2018-08-09,1.07,690517.19,A,Boston
2018-08-02,1.17,571994.5,A,Boston
2018-07-26,1.28,500233.69,A,Boston
2018-07-19,1.18,597168.12,A,Boston
2018-07-12,1.14,634515.74,A,Boston
2018-07-05,1.27,582909.73,A,Boston
2018-06-28,1.25,560494.92,A,Boston
2018-06-21,1.24,543504.66,A,Boston
2018-06-14,1.08,684346.48,A,Boston
2018-06-07,1.25,562542.86,A,Boston
2018-05-31,1.26,565160.95,A,Boston
2018-05-24,1.14,633521.98,A,Boston
2018-05-17,1.26,534488.54,A,Boston
2018-05-10,1.14,625558.14,A,Boston
2018-05-03,1.17,552368.94,A,Boston
2018-04-26,1.28,465911.37,A,Boston
2018-04-19,1.15,504619.83,A,Boston
2018-04-12,1.26,408485.16,A,Boston
2018-04-05,1.27,449818.01,A,Boston
2018-03-29,1.19,453631.25,A,Boston
2018-03-22,1.18,453173.22,A,Boston
2018-03-15,1.25,417750.36,A,Boston
2018-03-08,1.17,408403.96,A,Boston
2018-03-01,1.11,485736.1,A,Boston
2018-02-22,1.23,355432.28,A,Boston
2018-02-15,1.2,399883.99,A,Boston
2018-02-08,1.04,609985.34,A,Boston
2018-02-01,1.22,490022.14,A,Boston
2018-01-25,1.17,409343.56,A,Boston
2018-01-18,1.23,401331.33,A,Boston
2018-01-11,1.1,437771.89,A,Boston
2018-01-04,1.02,491738,A,Boston
2018-12-27,1.35,96233.08,A,BuffaloRochester
2018-12-20,1.37,90867.51,A,BuffaloRochester
2018-12-13,1.35,98473.23,A,BuffaloRochester
2018-12-06,1.23,108457.82,A,BuffaloRochester
2018-11-29,1.39,79973.14,A,BuffaloRochester
2018-11-22,1.4,90242.31,A,BuffaloRochester
2018-11-15,1.36,99703.72,A,BuffaloRochester
2018-11-08,1.3,111038.95,A,BuffaloRochester
2018-11-01,1.23,118541.11,A,BuffaloRochester
2018-10-25,1.36,99554.55,A,BuffaloRochester
2018-10-18,1.29,106083.75,A,BuffaloRochester
2018-10-11,1.3,109153.84,A,BuffaloRochester
2018-10-04,1.33,98900.48,A,BuffaloRochester
2018-09-27,1.31,90745.72,A,BuffaloRochester
2018-09-20,1.54,60624.47,A,BuffaloRochester
2018-09-13,1.59,73043.2,A,BuffaloRochester
2018-09-06,1.56,76139.58,A,BuffaloRochester
2018-08-30,1.38,83731.42,A,BuffaloRochester
2018-08-23,1.49,68953.29,A,BuffaloRochester
2018-08-16,1.5,69798.09,A,BuffaloRochester
2018-08-09,1.47,81830.13,A,BuffaloRochester
2018-08-02,1.47,78162.92,A,BuffaloRochester
2018-07-26,1.39,91825.07,A,BuffaloRochester
2018-07-19,1.36,128846.15,A,BuffaloRochester
2018-07-12,1.45,127351.46,A,BuffaloRochester
2018-07-05,1.47,140413.9,A,BuffaloRochester
2018-06-28,1.36,137246.7,A,BuffaloRochester
2018-06-21,1.5,108655.36,A,BuffaloRochester
2018-06-14,1.34,149376.79,A,BuffaloRochester
2018-06-07,1.38,130908.11,A,BuffaloRochester
2018-05-31,1.4,130841.08,A,BuffaloRochester
2018-05-24,1.43,121942.61,A,BuffaloRochester
2018-05-17,1.35,137050.23,A,BuffaloRochester
2018-05-10,1.33,170547.18,A,BuffaloRochester
2018-05-03,1.42,136771.79,A,BuffaloRochester
2018-04-26,1.41,136964.3,A,BuffaloRochester
2018-04-19,1.42,139612.52,A,BuffaloRochester
2018-04-12,1.42,118172.53,A,BuffaloRochester
2018-04-05,1.44,124145.62,A,BuffaloRochester
2018-03-29,1.39,119890.65,A,BuffaloRochester
2018-03-22,1.4,119902.96,A,BuffaloRochester
2018-03-15,1.47,103413.11,A,BuffaloRochester
2018-03-08,1.35,125724.96,A,BuffaloRochester
2018-03-01,1.43,112363.86,A,BuffaloRochester
2018-02-22,1.41,109546.92,A,BuffaloRochester
2018-02-15,1.44,100207.14,A,BuffaloRochester
2018-02-08,1.36,132760.1,A,BuffaloRochester
2018-02-01,1.33,153920.35,A,BuffaloRochester
2018-01-25,1.5,114052.94,A,BuffaloRochester
2018-01-18,1.52,107040.29,A,BuffaloRochester
2018-01-11,1.54,106221.32,A,BuffaloRochester
2018-01-04,1.4,116253.44,A,BuffaloRochester
2018-12-27,0.9,5040365.47,A,California
2018-12-20,0.94,4695737.21,A,California
2018-12-13,0.87,5259354.3,A,California
2018-12-06,0.78,5775536.27,A,California
2018-11-29,0.91,4575710.62,A,California
2018-11-22,0.92,4804278.16,A,California
2018-11-15,0.83,5755190.69,A,California
2018-11-08,0.98,5148983.51,A,California
2018-11-01,0.95,5830427.96,A,California
2018-10-25,1.12,4592461.81,A,California
2018-10-18,1.07,4999031.79,A,California
2018-10-11,1.08,5063309.38,A,California
2018-10-04,1.02,4943781.29,A,California
2018-09-27,1.04,5216784.63,A,California
2018-09-20,1.14,4759791.13,A,California
2018-09-13,1.13,5106508.12,A,California
2018-09-06,1.09,5806392.78,A,California
2018-08-30,1.08,5647385.15,A,California
2018-08-23,1.18,5193221,A,California
2018-08-16,1.11,5616434.08,A,California
2018-08-09,1.1,6232081.27,A,California
2018-08-02,1.16,5428238.87,A,California
2018-07-26,1.13,5557616.27,A,California
2018-07-19,1.18,5225200.52,A,California
2018-07-12,1.13,5451636.92,A,California
2018-07-05,1.12,6718011.83,A,California
2018-06-28,1.1,5641742.02,A,California
2018-06-21,1.07,5952597.29,A,California
2018-06-14,0.97,6741662.31,A,California
2018-06-07,0.98,6374842.9,A,California
2018-05-31,0.98,6236903.31,A,California
2018-05-24,1.1,5621713.64,A,California
2018-05-17,1.08,5289138.5,A,California
2018-05-10,0.93,6650357.96,A,California
2018-05-03,0.88,8567534.49,A,California
2018-04-26,1.15,4923565.04,A,California
2018-04-19,1.05,5871080.81,A,California
2018-04-12,1.06,5636644.51,A,California
2018-04-05,1.12,5467155.55,A,California
2018-03-29,1.1,5341821.67,A,California
2018-03-22,1.06,5571812.77,A,California
2018-03-15,1.06,5557163.11,A,California
2018-03-08,0.96,5990243.89,A,California
2018-03-01,0.84,6700134.25,A,California
2018-02-22,0.96,5951871.32,A,California
2018-02-15,0.96,5699944.93,A,California
2018-02-08,0.91,5871224.58,A,California
2018-02-01,0.85,9032180.67,A,California
2018-01-25,1.06,4929884.26,A,California
2018-01-18,1.02,5570915.26,A,California
2018-01-11,0.92,6024932.34,A,California
2018-01-04,0.93,5777334.9,A,California
2018-12-27,0.96,156698.24,A,Charlotte
2018-12-20,0.98,139917.89,A,Charlotte
2018-12-13,0.95,157146.19,A,Charlotte
2018-12-06,0.99,156114.08,A,Charlotte
2018-11-29,0.95,138858.86,A,Charlotte
2018-11-22,1,133618.33,A,Charlotte
2018-11-15,1.01,169281.16,A,Charlotte
2018-11-08,1.03,164322.04,A,Charlotte
2018-11-01,1.11,171793.87,A,Charlotte
2018-10-25,1.27,140920.61,A,Charlotte
2018-10-18,1.26,156565.98,A,Charlotte
2018-10-11,1.14,167396.56,A,Charlotte
2018-10-04,1.22,146737.74,A,Charlotte
2018-09-27,1.09,168780.22,A,Charlotte
2018-09-20,1.2,161443.98,A,Charlotte
2018-09-13,1.19,171077.53,A,Charlotte
2018-09-06,1.01,227728.43,A,Charlotte
2018-08-30,1.2,179026.88,A,Charlotte
2018-08-23,1.15,203298.37,A,Charlotte
2018-08-16,1.24,178525.52,A,Charlotte
2018-08-09,1.21,173059.32,A,Charlotte
2018-08-02,1.24,179321.9,A,Charlotte
2018-07-26,1.23,173896.82,A,Charlotte
2018-07-19,1.19,187575.03,A,Charlotte
2018-07-12,1.18,182856.82,A,Charlotte
2018-07-05,1.18,216118.9,A,Charlotte
2018-06-28,1.17,193654.01,A,Charlotte
2018-06-21,1.17,201173.1,A,Charlotte
2018-06-14,1.15,207093.88,A,Charlotte
2018-06-07,1.15,199980.3,A,Charlotte
2018-05-31,1.19,194630.86,A,Charlotte
2018-05-24,1.2,212527.72,A,Charlotte
2018-05-17,1.21,190799.99,A,Charlotte
2018-05-10,1.19,192767.09,A,Charlotte
2018-05-03,1,261492.2,A,Charlotte
2018-04-26,1.2,182141.55,A,Charlotte
2018-04-19,1.18,180944.22,A,Charlotte
2018-04-12,1.17,204005.24,A,Charlotte
2018-04-05,1.19,177919.28,A,Charlotte
2018-03-29,1.23,178788.49,A,Charlotte
2018-03-22,1.19,182876.15,A,Charlotte
2018-03-15,1.19,183944.05,A,Charlotte
2018-03-08,1.25,159386.69,A,Charlotte
2018-03-01,1.18,176146.34,A,Charlotte
2018-02-22,1.08,201741.43,A,Charlotte
2018-02-15,1.22,156798.51,A,Charlotte
2018-02-08,1.17,150139.38,A,Charlotte
2018-02-01,0.98,254009.7,A,Charlotte
2018-01-25,1.18,167270.13,A,Charlotte
2018-01-18,1.25,152671.15,A,Charlotte
2018-01-11,1.26,159942.68,A,Charlotte
2018-01-04,1.19,166006.29,A,Charlotte
2018-12-27,0.93,661137.13,A,Chicago
2018-12-20,0.91,690669.34,A,Chicago
2018-12-13,1.07,668601.5,A,Chicago
2018-12-06,1.14,664020.49,A,Chicago
2018-11-29,1.11,602481.22,A,Chicago
2018-11-22,0.94,751897.89,A,Chicago
2018-11-15,1.17,641881.96,A,Chicago
2018-11-08,1.01,711146.61,A,Chicago
2018-11-01,1,807041.46,A,Chicago
2018-10-25,1.12,687650.27,A,Chicago
2018-10-18,1.15,690302.58,A,Chicago
2018-10-11,1.08,708914.17,A,Chicago
2018-10-04,1.18,675172.63,A,Chicago
2018-09-27,1.15,720501.55,A,Chicago
2018-09-20,1.19,729117.42,A,Chicago
2018-09-13,1.19,775671.49,A,Chicago
2018-09-06,1.11,808677.78,A,Chicago
2018-08-30,1.12,773773.53,A,Chicago
2018-08-23,1.2,751850.01,A,Chicago
2018-08-16,1.16,817690.89,A,Chicago
2018-08-09,1.25,731125.01,A,Chicago
2018-08-02,1.27,761027.42,A,Chicago
2018-07-26,1.12,791332.34,A,Chicago
2018-07-19,1.24,797060.27,A,Chicago
2018-07-12,1.26,772151.2,A,Chicago
2018-07-05,1.24,937317.45,A,Chicago
2018-06-28,1.21,786250.22,A,Chicago
2018-06-21,1.24,804902.52,A,Chicago
2018-06-14,1.21,868197.41,A,Chicago
2018-06-07,1.24,824216.23,A,Chicago
2018-05-31,1.26,803571.87,A,Chicago
2018-05-24,1.23,887105.04,A,Chicago
2018-05-17,1.23,817870.17,A,Chicago
2018-05-10,1.23,835938.63,A,Chicago
2018-05-03,1.04,978376.13,A,Chicago
2018-04-26,1.24,779868.01,A,Chicago
2018-04-19,1.24,832529.06,A,Chicago
2018-04-12,1.24,710718.98,A,Chicago
2018-04-05,1.27,751812.42,A,Chicago
2018-03-29,1.22,757271.96,A,Chicago
2018-03-22,1.21,799946.53,A,Chicago
2018-03-15,1.09,827010.39,A,Chicago
2018-03-08,1.18,772997.09,A,Chicago
2018-03-01,1.09,863391.73,A,Chicago
2018-02-22,1.18,773078.09,A,Chicago
2018-02-15,1.17,726401.24,A,Chicago
2018-02-08,1.13,729325.61,A,Chicago
2018-02-01,0.91,1133491.66,A,Chicago
2018-01-25,1.22,745439.17,A,Chicago
2018-01-18,1.14,797741.43,A,Chicago
2018-01-11,1.15,802874.94,A,Chicago
2018-01-04,1.11,783068.03,A,Chicago
2018-12-27,0.87,162993.77,A,CincinnatiDayton
2018-12-20,0.85,175425.57,A,CincinnatiDayton
2018-12-13,0.79,207386.27,A,CincinnatiDayton
2018-12-06,0.83,207513.04,A,CincinnatiDayton
2018-11-29,0.88,141356.34,A,CincinnatiDayton
2018-11-22,0.89,174892.99,A,CincinnatiDayton
2018-11-15,0.88,193723.22,A,CincinnatiDayton
2018-11-08,0.87,239070.13,A,CincinnatiDayton
2018-11-01,0.93,254760.33,A,CincinnatiDayton
2018-10-25,1.01,203681.71,A,CincinnatiDayton
2018-10-18,0.98,186044.56,A,CincinnatiDayton
2018-10-11,0.91,213527.77,A,CincinnatiDayton
2018-10-04,0.93,235243.88,A,CincinnatiDayton
2018-09-27,1.08,202012.62,A,CincinnatiDayton
2018-09-20,1.05,210445.12,A,CincinnatiDayton
2018-09-13,1.05,216548.9,A,CincinnatiDayton
2018-09-06,1.02,232157.91,A,CincinnatiDayton
2018-08-30,1.01,234132.09,A,CincinnatiDayton
2018-08-23,1.05,208608.84,A,CincinnatiDayton
2018-08-16,1.01,234349.47,A,CincinnatiDayton
2018-08-09,1.08,214374.41,A,CincinnatiDayton
2018-08-02,1.09,206121.36,A,CincinnatiDayton
2018-07-26,1.03,216611.18,A,CincinnatiDayton
2018-07-19,1.06,223479.02,A,CincinnatiDayton
2018-07-12,1.03,218170.8,A,CincinnatiDayton
2018-07-05,1.03,250626.33,A,CincinnatiDayton
2018-06-28,1.01,225165.84,A,CincinnatiDayton
2018-06-21,1.02,243012.2,A,CincinnatiDayton
2018-06-14,1.05,229363.51,A,CincinnatiDayton
2018-06-07,1.07,234981.67,A,CincinnatiDayton
2018-05-31,1.06,222382.69,A,CincinnatiDayton
2018-05-24,1.1,222390.09,A,CincinnatiDayton
2018-05-17,1.04,234579.34,A,CincinnatiDayton
2018-05-10,1.06,259598.76,A,CincinnatiDayton
2018-05-03,1.08,238140.96,A,CincinnatiDayton
2018-04-26,1.06,214469.51,A,CincinnatiDayton
2018-04-19,1.02,226978.72,A,CincinnatiDayton
2018-04-12,1.02,188937.83,A,CincinnatiDayton
2018-04-05,1.06,196168.6,A,CincinnatiDayton
2018-03-29,0.95,198365.16,A,CincinnatiDayton
2018-03-22,0.98,212719.94,A,CincinnatiDayton
2018-03-15,0.94,196008.57,A,CincinnatiDayton
2018-03-08,0.87,219110.81,A,CincinnatiDayton
2018-03-01,0.89,226951.64,A,CincinnatiDayton
2018-02-22,0.93,183072.02,A,CincinnatiDayton
2018-02-15,0.94,169950.37,A,CincinnatiDayton
2018-02-08,0.93,186617.2,A,CincinnatiDayton
2018-02-01,0.86,300905.18,A,CincinnatiDayton
2018-01-25,0.93,213554.45,A,CincinnatiDayton
2018-01-18,0.93,175681.09,A,CincinnatiDayton
2018-01-11,0.92,201392.27,A,CincinnatiDayton
2018-01-04,0.88,228569.58,A,CincinnatiDayton
2018-12-27,0.99,107565.04,A,Columbus
2018-12-20,1.03,117393.22,A,Columbus
2018-12-13,1.03,124617.07,A,Columbus
2018-12-06,0.99,137195.59,A,Columbus
2018-11-29,1.03,97235.6,A,Columbus
2018-11-22,1.04,115089.62,A,Columbus
2018-11-15,0.99,117462.94,A,Columbus
2018-11-08,0.95,152084.79,A,Columbus
2018-11-01,0.99,135237.01,A,Columbus
2018-10-25,1.04,119210.27,A,Columbus
2018-10-18,0.98,137773.84,A,Columbus
2018-10-11,0.9,145305.65,A,Columbus
2018-10-04,0.93,134326.53,A,Columbus
2018-09-27,1.02,137298.77,A,Columbus
2018-09-20,1,165068.86,A,Columbus
2018-09-13,1.02,169025.14,A,Columbus
2018-09-06,1.04,144563.15,A,Columbus
2018-08-30,1.03,147230.76,A,Columbus
2018-08-23,1.08,130920.97,A,Columbus
2018-08-16,1.03,155881.73,A,Columbus
2018-08-09,1,167387.9,A,Columbus
2018-08-02,1.05,148597.91,A,Columbus
2018-07-26,1.02,159846.2,A,Columbus
2018-07-19,1.05,159137.17,A,Columbus
2018-07-12,1.04,143992.91,A,Columbus
2018-07-05,0.98,173370.68,A,Columbus
2018-06-28,0.94,159970.54,A,Columbus
2018-06-21,0.99,164161.25,A,Columbus
2018-06-14,1.01,171353.59,A,Columbus
2018-06-07,1.03,187983.88,A,Columbus
2018-05-31,1.1,143985.96,A,Columbus
2018-05-24,1.01,171879.57,A,Columbus
2018-05-17,1,180511.78,A,Columbus
2018-05-10,1.1,162802.65,A,Columbus
2018-05-03,0.99,176737.77,A,Columbus
2018-04-26,1.02,161438.17,A,Columbus
2018-04-19,1,172913.44,A,Columbus
2018-04-12,1.07,129397.39,A,Columbus
2018-04-05,1.09,126109.82,A,Columbus
2018-03-29,0.96,139065.31,A,Columbus
2018-03-22,0.94,182625.49,A,Columbus
2018-03-15,1.01,149884.1,A,Columbus
2018-03-08,0.95,141281.56,A,Columbus
2018-03-01,1.03,136795.35,A,Columbus
2018-02-22,1.09,114280.87,A,Columbus
2018-02-15,1.05,106663.68,A,Columbus
2018-02-08,0.96,128078.27,A,Columbus
2018-02-01,0.87,216653.06,A,Columbus
2018-01-25,1.08,116995.68,A,Columbus
2018-01-18,1.02,116450.21,A,Columbus
2018-01-11,0.97,125742.48,A,Columbus
2018-01-04,0.89,158638.04,A,Columbus
2018-12-27,0.8,1020390.64,A,DallasFtWorth
2018-12-20,0.82,928051.16,A,DallasFtWorth
2018-12-13,0.79,980891.18,A,DallasFtWorth
2018-12-06,0.74,1054849.97,A,DallasFtWorth
2018-11-29,0.8,839818.87,A,DallasFtWorth
2018-11-22,0.78,885067.49,A,DallasFtWorth
2018-11-15,0.71,1040439.71,A,DallasFtWorth
2018-11-08,0.8,977717.36,A,DallasFtWorth
2018-11-01,0.78,1114177.66,A,DallasFtWorth
