"","category","amount","gender","city","state","fraud","age"
"16326","grocery_net",50.04,"M","Cazenovia","WI","0",36
"16330","shopping_net",8.07,"M","Sea Island","GA","0",57
"16423","grocery_pos",49.36,"M","Thida","AR","0",20
"16442","misc_pos",2.36,"M","Utica","KS","0",58
"16668","grocery_pos",107.05,"F","Ehrhardt","SC","0",28
"16857","misc_net",141.68,"F","Brownville","NY","0",62
"16889","grocery_net",61.58,"M","Doe Hill","VA","0",34
"17118","shopping_pos",4.37,"F","Norwich","OH","0",58
"17183","gas_transport",61.95,"F","Holstein","NE","0",70
"17239","entertainment",174.18,"M","Arlington","VA","0",36
"17275","shopping_net",555.09,"M","Edmond","OK","0",27
"17298","kids_pets",54.6,"F","Rock Springs","WY","0",36
"17338","misc_pos",142.27,"F","Orient","WA","0",42
"17381","misc_pos",1.32,"F","Thomas","OK","0",34
"17430","shopping_pos",148.46,"F","Littleton","CO","0",45
"17511","kids_pets",12.88,"M","Mount Perry","OH","0",67
"17613","kids_pets",65.51,"F","Stirling","NJ","0",51
"17775","shopping_pos",4.72,"F","Milford","OH","0",24
"18066","kids_pets",161.64,"F","Blairsden-Graeagle","CA","0",53
"18087","home",17.13,"M","Lake Jackson","TX","0",21
"18104","home",4.01,"M","Purmela","TX","0",77
"18127","personal_care",18.44,"M","Lawrence","MA","0",35
"18161","kids_pets",14.26,"F","Kirtland Afb","NM","0",42
"18368","kids_pets",25.57,"M","Riverton","WY","0",27
"18370","food_dining",25.86,"M","Northport","NY","0",44
"18416","kids_pets",7.97,"M","Lake Jackson","TX","0",21
"18472","home",42.43,"M","Topeka","KS","0",45
"18568","kids_pets",46.23,"M","Bolivar","PA","0",26
"18684","misc_pos",3.05,"M","Harrington Park","NJ","0",55
"18754","gas_transport",65.74,"M","Syracuse","MO","0",59
"18828","grocery_pos",210.58,"F","Saint Paul","MN","0",49
"18864","entertainment",106.72,"F","Ridgeland","MS","0",54
"18869","misc_net",114.11,"F","Catawba","VA","0",80
"18882","gas_transport",40.8,"M","Freedom","WY","0",53
"18919","misc_net",4.88,"M","Methuen","MA","0",40
"18958","gas_transport",83.01,"M","Payson","IL","0",51
"19146","gas_transport",52.98,"M","Johns Island","SC","0",23
"19179","misc_pos",152.79,"F","Goodrich","MI","0",35
"19516","shopping_pos",2.01,"M","Wittenberg","WI","0",66
"19541","gas_transport",76.88,"F","Georgetown","MN","0",44
"19607","misc_net",3.85,"M","Mount Hope","AL","0",65
"19709","grocery_pos",70.73,"F","Creola","OH","0",41
"19777","misc_net",91.26,"F","Lanark Village","FL","0",30
"19903","food_dining",150.53,"F","Pomona","NY","0",58
"19905","shopping_net",2.28,"F","Cisco","IL","0",60
"20010","personal_care",12.3,"M","Sachse","TX","0",35
"20355","travel",2.72,"M","Union","WV","0",79
"20362","kids_pets",49.12,"M","Cokeburg","PA","0",31
"20398","misc_net",100.46,"F","Jones","AL","0",49
"20414","health_fitness",2.17,"F","Ranier","MN","0",20
"20459","personal_care",124.39,"M","Keller","TX","0",33
"20467","entertainment",33.5,"F","Brandon","VT","0",45
"20625","shopping_pos",3.92,"F","Hinesburg","VT","0",22
"20675","misc_pos",351.25,"M","Heiskell","TN","0",38
"20762","home",17.2,"M","Johns Island","SC","0",23
"20808","health_fitness",29.86,"M","Cuyahoga Falls","OH","0",54
"20893","entertainment",64.48,"M","Greenview","CA","0",62
"21026","food_dining",73.68,"F","Phoenix","AZ","0",39
"21145","entertainment",212.74,"F","Jones","AL","0",49
"21169","shopping_net",199.44,"F","Stanchfield","MN","0",25
"21171","misc_net",70.92,"F","Smiths Grove","KY","0",21
"21336","personal_care",63.5,"M","Muskegon","MI","0",25
"21367","shopping_pos",1.8,"F","Kansas City","MO","0",33
"21517","shopping_net",4.89,"F","Drakes Branch","VA","0",35
"21589","food_dining",61.5,"M","Bolivar","PA","0",26
"21667","home",5.89,"F","Garrattsville","NY","0",75
"21719","misc_pos",2.53,"F","Breesport","NY","0",29
"21735","kids_pets",86.63,"M","Titusville","FL","0",33
"21754","shopping_pos",9.86,"F","Hinckley","OH","0",32
"21778","shopping_net",2.55,"F","Newhall","CA","0",49
"21911","shopping_net",103.02,"F","Altonah","UT","0",30
"22011","kids_pets",18.82,"F","Wheaton","MO","0",35
"22267","shopping_pos",9.46,"M","Andrews","NC","0",55
"22443","grocery_net",95.54,"F","Higganum","CT","0",56
"22583","misc_pos",7.73,"F","Browning","MO","0",66
"22655","entertainment",21.38,"F","Coleman","TX","0",58
"22674","grocery_net",174.26,"F","Early","IA","0",71
"22772","grocery_net",33.76,"M","Warren","MI","0",40
"22946","shopping_pos",454.39,"M","Indian Wells","CA","0",65
"22994","grocery_net",70.56,"F","Wilmington","NC","0",37
"22999","shopping_net",6.31,"M","Bolton","NC","0",75
"23051","grocery_pos",71.99,"M","Lake Jackson","TX","0",21
"23168","grocery_net",60.26,"F","Hinckley","OH","0",32
"23402","gas_transport",72.79,"F","Gaithersburg","MD","0",84
"23579","entertainment",7.95,"M","Hartford","AL","0",75
"23689","misc_net",6.57,"F","Glen Rock","PA","0",68
"23734","food_dining",43.34,"F","Lowville","NY","0",29
"23869","personal_care",76.16,"F","Sixes","OR","0",92
"23963","shopping_pos",2.34,"F","Baton Rouge","LA","0",43
"24213","kids_pets",68.03,"F","Moro","IL","0",48
"24334","home",75.57,"M","Pointe Aux Pins","MI","0",26
"24459","health_fitness",109.6,"F","Scotia","SC","0",47
"24623","misc_pos",3.25,"M","Oakland","TN","0",27
"24731","shopping_pos",9.87,"M","Wichita","KS","0",35
"24769","kids_pets",64.21,"F","Houston","TX","0",36
"24811","food_dining",101.86,"F","Prosperity","SC","0",26
"24912","food_dining",36.8,"M","Mc Veytown","PA","0",23
"24979","entertainment",7.46,"F","Llano","NM","0",59
"25063","kids_pets",127.07,"M","Ruckersville","VA","0",45
"25285","home",214.68,"M","Woodville","AL","0",41
"25301","kids_pets",42.96,"M","Denham Springs","LA","0",26
"25327","food_dining",45.58,"M","Mc Veytown","PA","0",23
"25516","health_fitness",191.96,"F","Hedley","TX","0",44
"25548","home",45.49,"M","Lima","OH","0",28
"25567","entertainment",23.91,"M","Weeping Water","NE","0",69
"25697","food_dining",13.5,"M","Lolita","TX","0",50
"25895","misc_net",90.59,"M","Murrayville","IL","0",17
"26466","misc_pos",24.3,"F","Sherman","TX","0",50
"26651","shopping_pos",5.35,"M","Union","WV","0",79
"26759","misc_pos",93.57,"M","Lane","OK","0",60
"26787","grocery_pos",58.62,"F","Wetmore","MI","0",48
"26831","grocery_pos",117.42,"F","Dunlevy","PA","0",69
"26863","gas_transport",67.51,"M","Greenbush","VA","0",71
"27169","gas_transport",74.91,"M","Spearsville","LA","0",63
"27341","gas_transport",69.37,"F","Altonah","UT","0",30
"27382","gas_transport",70.88,"M","Wilmette","IL","0",34
"27450","grocery_net",27.3,"M","Lake Jackson","TX","0",21
"27747","shopping_pos",3.84,"F","O Brien","TX","0",37
"27806","entertainment",119.73,"F","Superior","AZ","0",33
"27922","personal_care",76.32,"F","Whigham","GA","0",70
"27923","food_dining",83.79,"F","Tupper Lake","NY","0",44
"28082","health_fitness",6.34,"F","Elberta","MI","0",25
"28340","shopping_pos",139.92,"M","Manderson","SD","0",40
"28368","shopping_net",91.81,"F","Bellmore","NY","0",50
"28438","personal_care",202.03,"M","High Rolls Mountain Park","NM","0",53
"28603","shopping_net",380.98,"F","Burlington","WA","0",46
"28613","kids_pets",105.17,"F","Whaleyville","MD","0",35
"28736","home",54.95,"F","Altona","NY","0",67
"28788","shopping_pos",9.97,"M","Haines City","FL","0",29
"28885","personal_care",30.39,"F","Clayton","OK","0",48
"28911","shopping_net",23.24,"F","Houston","TX","0",37
"29101","food_dining",2.24,"M","Tallmansville","WV","0",53
"29223","travel",4.21,"F","San Angelo","TX","0",58
"29265","home",20.69,"F","Elberta","MI","0",25
"29336","home",2.95,"F","Hurricane","WV","0",40
"29344","personal_care",60.3,"F","Browning","MO","0",66
"29374","health_fitness",119.16,"M","Reno","NV","0",23
"29438","health_fitness",156.96,"M","Saint Petersburg","FL","0",31
"29567","kids_pets",47.51,"F","Hannawa Falls","NY","0",29
"29622","home",12.39,"F","Eldridge","AL","0",34
"29670","kids_pets",100.97,"F","Lanark Village","FL","0",30
"29676","home",38.5,"M","Sacramento","CA","0",41
"29864","personal_care",82.53,"F","Roma","TX","0",30
"29968","shopping_pos",5.52,"M","Sacramento","CA","0",41
"29991","personal_care",8.86,"F","Belle Fourche","SD","0",80
"29998","food_dining",53.05,"F","Saint Amant","LA","0",43
"30151","grocery_pos",94.07,"F","Breesport","NY","0",29
"30162","shopping_pos",8.19,"F","Delhi","LA","0",56
"30268","gas_transport",52.69,"M","Paint Rock","AL","0",54
"30459","misc_pos",2.04,"F","Queenstown","MD","0",58
"30470","gas_transport",60.49,"M","Bessemer","AL","0",31
"30553","grocery_net",46.83,"M","Shippingport","PA","0",42
"30584","gas_transport",42.8,"M","Sardis","AL","0",88
"30585","shopping_pos",3.41,"F","Cromona","KY","0",60
"30592","grocery_net",73.19,"F","Manchester","MD","0",56
"30932","kids_pets",26.67,"F","Mifflin","PA","0",66
"31051","kids_pets",2.91,"F","Carlotta","CA","0",69
"31083","entertainment",7.05,"F","Holstein","NE","0",70
"31177","kids_pets",33.52,"F","Burlington","WA","0",46
"31185","home",73.01,"M","Grand Junction","TN","0",46
"31381","home",23.23,"F","Baroda","MI","0",39
"31480","misc_pos",14.64,"F","Blooming Grove","TX","0",42
"31576","entertainment",79.37,"M","Lamberton","MN","0",27
"31653","food_dining",4.52,"F","Yellowstone National Park","WY","0",79
"31843","home",47.36,"F","Whigham","GA","0",70
"31886","kids_pets",47.18,"F","Edisto Island","SC","0",23
"31929","grocery_pos",199.06,"F","Baroda","MI","0",39
"31942","grocery_pos",94.12,"M","Farmington","NY","0",68
"32074","grocery_pos",58.94,"M","Auburn","ME","0",62
"32077","gas_transport",76.12,"F","Fordoche","LA","0",69
"32118","shopping_pos",7.22,"M","Greenview","CA","0",62
"32130","grocery_pos",95.9,"F","Clifton","SC","0",32
"32245","shopping_net",95.25,"F","Santa Monica","CA","0",59
"32382","grocery_net",74.53,"M","Marienville","PA","0",58
"32418","misc_net",3.95,"M","Washington","DC","0",50
"32730","grocery_pos",108.27,"M","June Lake","CA","0",93
"32731","home",3.12,"F","Diamond","OH","0",37
"32823","entertainment",104.81,"M","Reno","NV","0",23
"32922","misc_pos",95.87,"F","Whaleyville","MD","0",35
"32964","entertainment",41.44,"F","Dallas","TX","0",45
"32969","health_fitness",23.76,"M","Heiskell","TN","0",38
"33162","food_dining",74.1,"F","River","KY","0",89
"33186","health_fitness",303.23,"F","Centerview","MO","0",31
"33276","kids_pets",49.92,"M","Egan","LA","0",48
"33290","shopping_pos",70.63,"F","Lakeport","CA","0",48
"33391","kids_pets",98.05,"M","Dadeville","AL","0",43
"33513","shopping_pos",5.21,"M","Wilmette","IL","0",34
"33520","entertainment",36.7,"M","Reno","NV","0",23
"33552","health_fitness",31.45,"M","Ozawkie","KS","0",72
"33576","shopping_net",3.81,"M","Wilmette","IL","0",34
"33641","food_dining",54.28,"M","Manderson","SD","0",40
"33736","home",34.52,"M","Holloway","OH","0",74
"33833","personal_care",9.39,"F","Belle Fourche","SD","0",80
"33909","shopping_net",6.79,"F","Hooper","NE","0",47
"33924","entertainment",19.6,"M","Methuen","MA","0",40
"33965","entertainment",19.77,"F","Keisterville","PA","0",75
"33973","shopping_net",9.33,"M","Ruth","NV","0",74
"34025","grocery_pos",46.17,"M","Heiskell","TN","0",38
"34120","shopping_pos",3.76,"M","South Londonderry","VT","0",63
"34288","grocery_pos",139.95,"F","Blairstown","MO","0",70
"34351","gas_transport",56.63,"F","Walnut Ridge","AR","0",43
"34497","grocery_pos",121.36,"F","Plantersville","AL","0",50
"34896","home",54.85,"F","Stephensport","KY","0",53
"34953","health_fitness",20.5,"F","Mound City","MO","0",67
"35130","food_dining",5.17,"M","Lawrence","MA","0",35
"35360","personal_care",13.6,"M","Powell","TN","0",51
"35468","shopping_net",2.9,"F","Rockwell","IA","0",38
"35486","personal_care",12.49,"F","Texarkana","AR","0",35
"35541","health_fitness",320.78,"F","Ranier","MN","0",20
"35566","entertainment",18.33,"M","Ollie","IA","0",51
"35661","travel",7.23,"M","Crownpoint","NM","0",31
"35689","home",222.66,"F","Shenandoah Junction","WV","0",54
"36040","food_dining",14,"M","Titusville","FL","0",33
"36084","home",28.21,"M","Ollie","IA","0",51
"36257","gas_transport",60.59,"F","Keisterville","PA","0",75
"36276","misc_pos",137.06,"F","Meridian","TX","0",50
"36340","shopping_pos",148.27,"M","Schaefferstown","PA","0",38
"36409","grocery_pos",141.26,"M","Lolita","TX","0",50
"36434","shopping_net",82.37,"F","Enola","AR","0",66
"36583","shopping_net",98.75,"M","Premier","WV","0",34
"36626","gas_transport",80.24,"M","Glendale","CA","0",38
"36638","grocery_pos",110.09,"M","Saint Bonaventure","NY","0",46
"36672","gas_transport",70.95,"F","Meridian","TX","0",50
"36737","grocery_pos",69.64,"M","Webster City","IA","0",57
"36774","gas_transport",40.17,"F","Downsville","NY","0",30
"36855","grocery_pos",82.23,"F","Fullerton","NE","0",47
"37129","entertainment",4.15,"M","Lakeland","FL","0",71
"37133","grocery_net",67.55,"F","Indianapolis","IN","0",45
"37152","grocery_net",85.72,"M","Lonsdale","MN","0",33
"37337","health_fitness",74.59,"M","West Green","GA","0",38
"37405","health_fitness",155.22,"F","Cisco","IL","0",60
"37495","shopping_net",8.44,"M","Moriarty","NM","0",32
"37523","food_dining",4.18,"M","Grant","AL","0",48
"37645","food_dining",91.36,"F","Coleharbor","ND","0",90
"37672","shopping_pos",315.57,"F","Goodrich","MI","0",35
"37748","entertainment",123.32,"F","Tomales","CA","0",66
"37847","personal_care",53.28,"M","Key West","FL","0",33
"37877","personal_care",21.06,"M","Amorita","OK","0",62
"38008","food_dining",64.29,"M","Alva","WY","0",47
"38108","shopping_pos",7.89,"F","Daly City","CA","0",29
"38125","travel",5.12,"F","Viola","AR","0",34
"38170","travel",527.65,"M","Big Creek","KY","0",36
"38515","home",95.31,"M","Atlantic","VA","0",34
"38520","home",168.21,"F","Daly City","CA","0",29
"38616","misc_pos",5.52,"M","Sontag","MS","0",62
"38707","shopping_net",31.37,"F","Winger","MN","0",54
"38965","grocery_pos",122.98,"F","Irvine","PA","0",48
"39013","gas_transport",68.53,"F","Littleton","CO","0",45
"39056","grocery_net",44.22,"F","Centerview","MO","0",31
"39155","grocery_pos",197.19,"F","Fort Myers","FL","0",35
"39158","grocery_pos",109.95,"M","Arcadia","OH","0",87
"39165","gas_transport",67.99,"M","Moorhead","MS","0",21
"39191","shopping_pos",7.79,"F","Stephensport","KY","0",53
"39290","misc_pos",44.35,"F","De Soto","KS","0",42
"39303","grocery_net",46.69,"F","Kingsport","TN","0",33
"39770","food_dining",137.3,"F","Veedersburg","IN","0",61
"39833","shopping_pos",3.3,"F","Phil Campbell","AL","0",68
"39987","entertainment",121.81,"F","Battle Creek","IA","0",23
"39991","shopping_net",5.81,"F","Plymouth","CT","0",47
"40145","kids_pets",59.99,"F","Waupaca","WI","0",84
"40207","personal_care",6.04,"M","Elizabeth","NJ","0",40
"40304","travel",7.89,"F","Cromona","KY","0",60
"40720","personal_care",4.5,"F","Eureka","IL","0",75
"40892","home",74.71,"M","Grand Junction","TN","0",46
"40903","shopping_pos",224.46,"F","Kilgore","TX","0",37
"41005","home",23.08,"M","Fulton","OH","0",15
"41120","shopping_net",8,"F","Hedrick","IA","0",21
"41368","misc_net",13.82,"F","Alpharetta","GA","0",23
"41438","personal_care",7.35,"F","Spencer","SD","0",48
"41593","home",24.45,"M","Lawrence","MA","0",35
"41646","shopping_net",3.12,"F","Redford","MO","0",46
"41744","food_dining",9.64,"F","Phoenix","AZ","0",21
"41804","home",50.16,"F","Thomas","OK","0",34
"42028","health_fitness",102.03,"M","Utica","KS","0",58
"42063","food_dining",12.55,"M","Louisiana","MO","0",80
"42097","misc_net",1.88,"F","Washington Court House","OH","0",81
"42101","grocery_net",47.23,"M","Boonton","NJ","0",27
"42184","gas_transport",76.9,"M","Holloway","OH","0",74
"42224","gas_transport",81.25,"F","Westerville","NE","0",85
"42268","misc_net",1.51,"M","Grantham","NH","0",72
"42365","shopping_pos",162.68,"M","Indian Wells","CA","0",65
"42622","food_dining",37.64,"F","Coleman","TX","0",58
"42705","shopping_pos",139.32,"M","Hewitt","WI","0",29
"43059","grocery_pos",77.43,"M","Edmond","OK","0",27
"43363","shopping_pos",7.68,"F","West Columbia","SC","0",91
"43470","misc_net",463.93,"M","Bronx","NY","0",30
"43520","misc_net",8.24,"F","Surrency","GA","0",94
"43646","home",55.74,"F","Norman","AR","0",21
"43756","kids_pets",30.54,"M","Lonsdale","MN","0",33
"44205","grocery_pos",56.17,"M","Spring Church","PA","0",23
"44207","personal_care",9.57,"M","Mc Nabb","IL","0",64
"44399","kids_pets",48.66,"M","Schaefferstown","PA","0",38
"44451","home",80.59,"M","Ozawkie","KS","0",72
"44464","home",51.01,"F","Holstein","NE","0",70
"44511","kids_pets",28.08,"F","Llano","NM","0",59
"44624","kids_pets",102.06,"F","River","KY","0",89
"44649","food_dining",5.58,"M","Murfreesboro","TN","0",42
"44727","personal_care",65.54,"F","Juliette","GA","0",30
"45196","entertainment",63.36,"F","Norwich","OH","0",58
"45342","travel",2.12,"M","Thida","AR","0",20
"45357","personal_care",81.35,"F","Delhi","LA","0",56
"45527","kids_pets",51.25,"F","New York City","NY","0",39
"45643","travel",3.2,"M","Holliday","TX","0",56
"45756","health_fitness",174.66,"F","Gardiner","OR","0",64
"45794","kids_pets",45.22,"F","Eldridge","AL","0",34
"45920","health_fitness",75.3,"M","Fort Washakie","WY","0",44
"45938","entertainment",121.22,"M","Reno","NV","0",23
"46044","shopping_net",6.37,"M","Bronx","NY","0",30
"46087","home",17.1,"M","Apison","TN","0",29
"46183","shopping_net",150.92,"F","Old Hickory","TN","0",26
"46224","food_dining",64.59,"F","West Columbia","SC","0",91
"46388","gas_transport",59.4,"F","Breesport","NY","0",29
"46424","shopping_net",5.92,"F","Blairstown","MO","0",70
"46636","grocery_pos",79.75,"F","Cape Coral","FL","0",52
"46638","gas_transport",82.28,"M","Afton","MN","0",85
"46652","misc_net",137.91,"M","Coffeeville","MS","0",36
"46742","shopping_pos",3.92,"M","Milner","GA","0",51
"46881","grocery_pos",138.79,"M","Purmela","TX","0",77
"46898","gas_transport",68.27,"F","Utica","MO","0",48
